cycle_id,module_id,activity,status,opened_at_utc,ended_at_utc,is_sigilo_module,previous_cycle_id,watson_rodadas,sherlock_rodadas,mycroft_overruled_watson,mycroft_overruled_sherlock,watson_critical_alerts_count,sherlock_dilemmas_count,motor_saida_invocado_at_utc,motor_saida_occurrences,motor_saida_decision,lestrade_seal_at_utc,output_filename,output_hash,custo_total_usd,tokens_mycroft,tokens_watson,tokens_sherlock,ambiente,diogenes_version,git_commit,irene_invocada_at_utc,irene_resultado,irene_score,irene_dir_saida
MOD_010_A1_20260530T173928Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T17:39:29Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,829e5b644d8be18632383ccdb2cc417f04ec8572,,,,
MOD_010_A1_20260530T174632Z,MOD_010,1,ABORTADO_LESTRADE,2026-05-30T17:46:32Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,829e5b644d8be18632383ccdb2cc417f04ec8572,,,,
MOD_010_A1_20260530T180252Z,MOD_010,1,ABORTADO_LESTRADE,2026-05-30T18:02:52Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,829e5b644d8be18632383ccdb2cc417f04ec8572,,,,
MOD_010_A1_20260530T182408Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T18:24:08Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,6aacd6f4da8bd6a9cb21c2a6f4ea50e66894eca6,20260530T182415Z,IRENE_ALERTA,0.0000,/Users/tmarfer_mac/Documents/Projetos/projeto_diogenes/workspace/MOD_010
MOD_010_A1_20260530T191131Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T19:11:31Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,6aacd6f4da8bd6a9cb21c2a6f4ea50e66894eca6,20260530T191134Z,IRENE_ALERTA,0.0000,/Users/tmarfer_mac/Documents/Projetos/projeto_diogenes/workspace/MOD_010
MOD_010_A1_20260530T212303Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T21:23:03Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,6aacd6f4da8bd6a9cb21c2a6f4ea50e66894eca6,20260530T212308Z,IRENE_BLOQUEADO,0.9740,/Users/tmarfer_mac/Documents/Projetos/projeto_diogenes/workspace/MOD_010
MOD_010_A1_20260530T230154Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T23:01:54Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,6aacd6f4da8bd6a9cb21c2a6f4ea50e66894eca6,,,,
MOD_010_A1_20260530T232733Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T23:27:33Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,8e8676f056f0b290b4b1f118821eb3d2babb9853,,,,
MOD_010_A1_20260530T235547Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T23:55:47Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,6081c283f072b079bfcae5cfd79e9f9531323cd0,,,,
MOD_010_A1_20260530T235932Z,MOD_010,1,ABORTADO_FALHA_AGENTE,2026-05-30T23:59:32Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,9fe2c99ca3afc668b9144ec812c4f025118b79da,,,,
MOD_010_A1_20260531T001408Z,MOD_010,1,ABORTADO_LESTRADE,2026-05-31T00:14:08Z,,false,,0,0,false,false,0,0,,,,,,,0.00,0,0,0,local,0.1.0,e61592d2cf564e4c4ee2b30cee70a725e263fd6e,,,,
MOD_010_A1_20260531T041556Z,MOD_010,1,ENCERRADO_CHANCELADO,2026-05-31T04:15:57Z,2026-05-31T14:11:18Z,false,,1,0,false,false,0,0,2026-05-31T14:11:18Z,9,ACEITO_JUSTIFICADO,2026-05-31T14:11:18Z,relatorio_preliminar_MOD_010_A1_20260531T041556Z.md,sha256:0ac27ced311c9b38e0a16cf7bef375809ea47e44332ad6499c0e9b650b586518,0.00,0,0,0,local,0.1.0,c57fa4eb68199a707714944c6d2b6541e83e3e5a,,,,
