aliquotas,bc_dos_servicos_debitos,bc_dos_servicos_debitos_1,bc_dos_servicos_debitos_2,bc_dos_servicos_debitos_3
Alíq. Referência - Demais serviços e bens,15.368780816471526,16.56159308054097,15.368780816471526,16.56159308054097
Alíq. Referência - Titular de Cartório,24.278582199870414,28.075560143201034,24.278582199870414,28.075560143201034
Alíq. Reduzida em 30% - Profissionais Liberais - Art. 127 ,4.329255521962486,4.732386982309478,4.329255521962486,4.732386982309478
Alíq. reduzida em 60%  - Serviços de saúde - Art. 130 (Anexo III),19.474973099284018,20.354266850826505,19.474973099284018,20.354266850826505
"Alíq. reduzida em 60%  - Prof. artes, cultura, eventos, jornalistica e audio - Art. 139 (Anexo X)",0.22216156956218405,0.2281932798972915,0.22216156956218405,0.2281932798972915
Alíq. reduzida em 60%  - Prof. educação - Art. 129,0.48229616498500655,0.5066387299380926,0.48229616498500655,0.5066387299380926
,,(R$ bilhões),,(R$ bilhões)
Tabela 10.2.2 BC dos Créditos,2023,2024,2023,2024
Custos e despesas sujeitos a tomada de crédito tributado as seguintes alíquotas,BC dos custos e despesas (Créditos),BC dos custos e despesas (Créditos),BC dos custos e despesas (Créditos),BC dos custos e despesas (Créditos)
Alíquota 0% - Cesta Básica - Anexo I - Art 125,0,0,0,0
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,0,0,0,0
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,0,0,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,0,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,0,0,0,0
Alíquota de Referência - Demais Produtos,9.254329290720785,10.04220618533634,9.254329290720785,10.04220618533634
Combustíveis,0,0,0,0
DADOS,,,,
- Declaração do Imposto de Renda das Pessoas Físicas (DIRPF),,,,
- Carne Leão Web,1000000000,,1000000000,
Especificação,,,,
Periodicidade,,,,
2023-2024,,,,
Escopo,,,,
Ficha de rendimentos do trabalho não assalariado da DIRPF,,,,
Informações das despesas discriminadas por tipo declaradas no Carne Leão Web,,,,
Informação a extrair,,,,
"Receitas do trabalho não assalariado discriminadas pela atividade do contribuinte de acordo com a ocupação principal, declaradas na DIRPF",,,,
"Despesas registradas no livro caixa discriminadas pela atividade do contribuinte de acordo com a ocupação principal, declaradas na DIRPF",,,,
"Registro das despesas, discriminado por tipo de despesa, declaradas no Carne Leão Web",,,,
Segregação/Tratamento dos Dados,,,,
Estimativa da base de cálculo dos débitos da CBS pela distribuição dos rendimentos do trabalho não assalariado (DIRPF) de acordo com a classificação das ocupações dos contribuintes nas alíquotas incidentes de CBS sobre suas atividades,,,,
Identificação de uma amostra representativa dos contribuintes que apresentou escrituração completa com a discriminação do tipo de despesa no Carne Leão Web,,,,
Estimativa do percentual das despesas registradas no carne leão web que podem gerar créditos de CBS,,,,
"Estimativa da base de cálculo dos créditos pela aplicação desse percentual sobre o valor das despesas registrados na DIRPF, alocados a alíquota de referência",,,,
