ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
00000000,4312618802.57,0,-4312618802.57
00000006,7040,0,-7040
00012802,74000,0,-74000
01012100,30093410.98,30093410.98,0
01012900,235985155.97,235985155.97,0
01013000,3161706.7,3161706.7,0
01019000,30831012.79,30831012.79,0
01021010,826151.6,826151.6,0
01022110,916643377.4799999,916643377.4799999,0
01022190,9968269384.68,9968269384.68,0
01022911,3006978129.3,3006978129.3,0
01022919,3890852740.25,3890852740.25,0
01022990,35047267578.22,35053263662.02,5996083.800003052
01023110,1702631,1702631,0
01023190,58448751.98,58448751.98,0
01023911,4340631.88,4340631.88,0
01023919,140736291.52,140736291.52,0
01023990,169140215.18,169140215.18,0
01029000,24211555195.37,24211555195.37,0
01029011,6919.5,6919.5,0
01029019,1474683.86,1474683.86,0
01029090,127172093.01,130946234.27,3774141.260000005
01031000,205741658.47,205741658.47,0
01039100,843492600.3199999,843492600.3199999,0
01039200,7045429491.059999,7045429491.059999,0
01041011,531764.6,531764.6,0
01041019,73155688.03999999,73155688.03999999,0
01041090,13178440.76,13178440.76,0
01042010,168565,168565,0
01042090,3182160.09,3182160.09,0
01051110,24598268.43,24598268.43,0
01051190,1183603504.38,1183603504.38,0
01051200,36450,36450,0
01051300,150,150,0
01051500,55486762.31000002,55486762.31000002,0
01059400,1809909212.11,1809909212.11,0
01059900,1424711423.57,1425701046.58,989623.0099999905
01061100,1700106,1700106,0
01061200,6.91,6.91,0
01061900,2679451.07,2679451.07,0
01062000,14000,14000,0
01063000,989623.01,0,-989623.01
01063100,28441298.95,28441298.95,0
01063390,14614993.29,14614993.29,0
01063900,104665704.67,104665704.67,0
01069000,63471871.16,63471871.16,0
02011000,211847688.24,211847688.24,0
02012010,11588769.94,11588769.94,0
02012020,13658014.49,13658014.49,0
02012090,96181316.31,96181316.31,0
02013000,21081578.4,21081578.4,0
02021000,15841363.57,15841363.57,0
02022010,2753979.74,2753979.74,0
02022020,2270670.1,2270670.1,0
02022090,4451983.310000001,4451983.310000001,0
02023000,6382689.4,6382689.4,0
02031100,31136986.54,31136986.54,0
02031200,456.25,456.25,0
02031900,5830539.300000001,5830539.300000001,0
02032200,32440.6,32440.6,0
02032900,2372730.84,2372730.84,0
02041000,336314.72,336314.72,0
02042200,6774.86,6774.86,0
02042300,2704,2704,0
02045000,2028579.5,2028579.5,0
02050000,612120.4,612120.4,0
02061000,1169189.52,1169189.52,0
02062100,2581.65,2581.65,0
02062200,1511605.6,1511605.6,0
02062910,5904.780000000001,5904.780000000001,0
02062990,910738.1000000001,910738.1000000001,0
02063000,57643973.74,57643973.74,0
02064900,63291.21000000001,63291.21000000001,0
02071100,4569028.599999999,4569028.599999999,0
02071200,733986.03,733986.03,0
02071210,14506.55,14506.55,0
02071220,1552349.21,1552349.21,0
02071300,28035,28035,0
02071400,4099747.98,4099747.98,0
02075500,293571.54,293571.54,0
02076000,70788,70788,0
02089000,2187.5,2187.5,0
02091011,3000,3000,0
02091019,3493.33,3493.33,0
02101100,51937.69,51937.69,0
02101200,79716,79716,0
02101900,255204.0799999999,255204.0799999999,0
02102000,36794557.94,36794557.94,0
02109911,1,1,0
02109930,1600,1600,0
03011110,2013771.35,2013771.35,0
03011190,907851.8,907851.8,0
03011900,175000,175000,0
03019190,1100,1100,0
03019290,121136.35,121136.35,0
03019310,550533.96,550533.96,0
03019911,50249941.56,50249941.56,0
03019919,225451.82,225451.82,0
03019990,2659721.03,2659721.03,0
03019991,28985984.35,28985984.35,0
03019999,29197430.01,29197430.01,0
03021900,344806.5,344806.5,0
03022300,918472.4199999999,918472.4199999999,0
03022900,2836637.32,2836637.32,0
03023100,137276.1,137276.1,0
03023200,1313452.3,1313452.3,0
03023300,32961239.75,32961239.75,0
03023400,69811,69811,0
03023900,6727219.21,6727219.21,0
03024100,63046,63046,0
03024210,501064,501064,0
03024290,14692422.23,14692422.23,0
03024300,75330367.96000001,75330367.96000001,0
03024400,3661290.5,3661290.5,0
03024500,375505,375505,0
03024600,13801,13801,0
03024700,8118461.2,8118461.199999999,-9.313225746154785e-10
03024990,1563358.98,1563358.98,0
03025300,56000,56000,0
03025400,5263712,5263712,0
03025900,9202993.45,9202993.45,0
03026942,11931966.19,11931966.19,0
03026943,120696.46,120696.46,0
03026945,518,518,0
03026954,1305578.7,1305578.7,0
03026955,3467.5,3467.5,0
03026990,11189.76,11189.76,0
03027100,152474529.38,152474529.38,0
03027210,29975,29975,0
03027290,6860,6860,0
03027400,12822,12822,0
03027900,925903.4099999999,925903.4099999999,0
03028100,3175259.1,3175259.1,0
03028200,40310,40310,0
03028400,61332,61332,0
03028500,105652.9,105652.9,0
03028910,25331.83,25331.83,0
03028921,9139,9139,0
03028931,1606095,1606095,0
03028932,21031161.84,21031161.84,0
03028933,11999348.5,11999348.5,0
03028934,322681.1,322681.1,0
03028935,9308,9308,0
03028936,19000,19000,0
03028937,483975.34,483975.34,0
03028938,5795690.38,5795690.38,0
03028942,328192,328192,0
03028943,1612942.16,1612942.16,0
03028944,93829932.24,93829932.23999998,-1.490116119384766e-08
03028945,189428.5,189428.5,0
03028990,53874190.5,53874190.5,0
03029900,2131769.79,2131769.79,0
03031900,73631.2,73631.2,0
03032300,2146020.53,2146020.53,0
03032500,816.2,816.2,0
03032900,50095.78,50095.78,0
03033200,289743.56,289743.56,0
03033900,2820,2820,0
03035300,205387,205387,0
03035400,243970,243970,0
03035700,10000,10000,0
03035990,32400,32400,0
03036300,54400,54400,0
03037953,22400,22400,0
03037990,12000,12000,0
03038111,29425.8,29425.8,0
03038112,2844,2844,0
03038400,6119,6119,0
03038910,2809698,2809698,0
03038920,339630.5,339630.5,0
03038932,689300,689300,0
03038933,12199.46,12199.46,0
03038951,266038.2,266038.2,0
03038952,152486.6,152486.6,0
03038953,1015127.5,1015127.5,0
03038954,14859.5,14859.5,0
03038955,107277.6,107277.6,0
03038962,264,264,0
03038964,1775006.74,1775006.74,0
03038990,2616753.55,2616753.55,0
03039990,34763.94,34763.94,0
03043100,2848344,2848344,0
03043290,9073.6,9073.6,0
03043900,1702321.45,1702321.45,0
03045300,400,400,0
03045900,139215,139215,0
03046100,42593465.87,42593465.87,0
03047900,507,507,0
03048910,66426.78,66426.78,0
03048930,492621.5,492621.5,0
03048990,726,726,0
03049500,1356698.1,1356698.1,0
03049900,7393566.220000001,7393566.22,-9.313225746154785e-10
03055400,55830,55830,0
03056300,2000,2000,0
03057100,354664.75,354664.75,0
03057900,39250,39250,0
03061110,219935.1,219935.1,0
03061190,13071,13071,0
03061710,23946.6,23946.6,0
03061790,14880,14880,0
03063100,175360.3,175360.3,0
03063600,51065919.5,51065919.5,0
03069500,9215517.2,9215517.2,0
03074200,455827.41,455827.41,0
03074310,9616,9616,0
03074900,143,143,0
03075100,2764.5,2764.5,0
03075200,4750,4750,0
03075900,33895,33895,0
03078100,412,412,0
03089000,1144693.95,1144693.95,0
03091000,19500,19500,0
04011010,48327309.71000001,48327309.71000001,0
04011090,26799885.4,26799885.4,0
04012010,1561077.22,1561077.22,0
04012090,1664048289.29,1664048289.29,0
04014010,185054996.89,185054996.89,0
04014029,664607.5,664607.5,0
04015010,15894495.22,15894495.22,0
04015029,14311346.92,14311346.92,0
04021090,3221409.74,3221409.74,0
04022110,38279886.92999999,38279886.92999999,0
04022910,250217.56,250217.56,0
04029100,10554469.81,10554469.81,0
04029900,25573099.25,25573099.25,0
04032000,42153.2,42153.2,0
04039000,2809,2809,0
04041000,8750,8750,0
04051000,7390845.809999999,7390845.809999999,0
04061010,1549034.63,1549034.63,0
04061090,9866392.889999999,9866392.889999999,0
04062000,12896.17,12896.17,0
04063000,9667,9667,0
04069010,507262.17,507262.1699999999,-5.820766091346741e-11
04069020,3044991.73,3044991.73,0
04069090,2895257.159999999,2895257.159999999,0
04071100,481853403.78,481853403.78,0
04071900,94918016.37,94918016.37,0
04072100,5511388934.25,5511388934.25,0
04072900,725259413.55,725259413.55,0
04079000,411876237.98,411876237.98,0
04081100,1524861.94,1524861.94,0
04081900,3287502.25,3287502.25,0
04089100,664956.17,664956.17,0
04089900,41222031.74,41222031.74,0
04090000,608984.43,608984.43,0
04109000,2794,2794,0
05010000,770,770,0
05040011,2168132476.96,2168132476.96,0
05040012,1811274.44,1811274.44,0
05040013,74756435.22,74756435.22,0
05040090,4642782,4642782,0
05051000,34618.61,34618.61,0
05061000,11470.53,11470.53,0
05069000,55169.15,55169.15,0
05079000,2329752.38,2329752.38,0
05080000,91860,91860,0
05100010,3998912.5,3998912.5,0
05100090,1676365.36,1676365.36,0
05111000,3387137,3387137,0
05119190,12191,12191,0
05119910,25307355.76,25307355.76,0
05119920,13276459.59,13276459.59,0
05119991,21260,21260,0
05119999,34446002.84,34446002.84,7.450580596923828e-09
06011000,992996.1599999999,992996.1599999999,0
06012000,47676076.29,47676076.28999999,-7.450580596923828e-09
06021000,10144665.24,10144665.24,0
06022000,73862454.95,73862454.95,0
06023000,4345031.02,4345031.02,0
06024000,1840.45,1840.45,0
06029010,215,215,0
06029021,606762.15,606762.15,0
06029029,48250321.36,48250321.36,0
06029081,290001753.6,290001753.6,0
06029083,140851751.18,140851751.18,0
06029089,64775547.48999999,64775547.48999999,0
06029090,191800087.26,191800087.26,0
06031100,116218938.04,116218938.04,0
06031200,6508040.96,6508040.96,0
06031300,2262000.66,2262000.66,0
06031400,59775,59775,0
06031500,17828597.62,17828597.62,0
06031900,39652940.14,39652940.14,0
06039000,851991.06,851991.06,0
06042000,6101121.469999999,6101121.469999999,0
06049000,6075078.34,6075078.34,0
07011000,110353337.17,110353337.17,0
07019000,3197675362.71,3197675362.71,0
07020000,957612935.5,957612935.5,0
07031011,1123677.39,1123677.39,0
07031019,402137481.31,402137481.3099999,-5.960464477539062e-08
07031029,2239919.6,2239919.6,0
07032010,31246678.98,31246678.98,0
07032090,1167841997.02,1167841997.02,0
07039010,6559929.78,6559929.78,0
07039090,18402365.12,18402365.12,0
07041000,206575755.31,206575755.31,0
07042000,148747.59,148747.59,0
07049000,144483526.05,144483526.05,-2.980232238769531e-08
07051100,52684172.26000001,52684172.26000001,0
07051900,120251221.39,120251221.39,0
07052100,685009.4,685009.4,0
07052900,20382958.88,20382958.88,0
07061000,911429152.14,911429152.14,0
07069000,91885514.82000001,91885514.82000001,0
07070000,37428410.36,37428410.36,0
07081000,3316978.94,3316978.94,0
07082000,2377033.85,2377033.85,0
07089000,9817040.21,9817040.21,0
07092000,2023.3,2023.3,0
07093000,9440532.610000001,9440532.610000001,0
07094000,1311508.43,1311508.43,0
07095100,5961084.15,5961084.15,0
07095200,24146.79,24146.79,0
07095400,24637.39000000001,24637.39000000001,0
07095900,23513016.74,23513016.74,0
07096000,65210771.23,65210771.23,0
07097000,4221251.87,4221251.87,0
07099000,41053.10000000001,41053.10000000001,0
07099090,40663.75,40663.75,0
07099100,110764.72,110764.72,0
07099200,5117398.03,5117398.03,0
07099300,81456501.77,81456501.77000001,1.490116119384766e-08
07099911,2488544.61,2488544.61,0
07099919,178170436.68,178170436.68,0
07099990,106610910.12,106610910.12,0
07101000,789357182.0300001,789357182.0300001,0
07102100,6582.54,6582.54,0
07102200,920875.0199999999,920875.0199999999,0
07102900,478096.5000000001,478096.5000000001,0
07103000,228446.63,228446.63,0
07104000,103123420.2,103123420.2,0
07108000,14414011.07,14414011.07,0
07109000,31641601.08,31641601.08,0
07114000,1779333.51,1779333.51,0
07115100,4369.4,4369.4,0
07119000,65830.03000000001,65830.03000000001,0
07122000,210484621.49,210484621.49,0
07123100,56690.78000000001,56690.78,-7.275957614183426e-12
07123900,130296.8,130296.8,0
07129010,2664282.54,2664282.54,0
07129090,8925736.06,8925736.06,0
07131010,667612,667612,0
07131090,14992237.97,14992237.97,0
07132090,372047,372047,0
07133110,373200,373200,0
07133190,41505442.28,41505442.28,0
07133210,499417.75,499417.75,0
07133290,13530359.97,13530359.97,0
07133300,413372.27,0,-413372.27
07133311,38373745.41,38373745.41,0
07133319,462238593.72,462238593.72,0
07133321,26057675.07,26057675.07,0
07133329,115385755.55,115385755.55,0
07133391,170033055.14,170033055.14,0
07133399,2820452334.75,2820865707.02,413372.2699999809
07133490,616689.62,616689.62,0
07133510,556741.65,556741.65,0
07133590,161264420.51,161264420.51,0
07133910,6810279.060000001,6810279.060000001,0
07133990,21860203.51,21860203.51,0
07136010,26680,26680,0
07136090,2349637.6,2349637.6,0
07139010,33000,33000,0
07139090,27021209.61,27021209.61,-3.725290298461914e-09
07141000,176026929.04,176026929.04,0
07142000,41627332.11,41627332.11,0
07143000,3008380.07,3008380.07,0
07149000,13971417.07,13971417.07,0
08011100,595055.99,595055.99,0
08011200,748539.47,748539.47,0
08011900,31736291.86,31736291.86,3.725290298461914e-09
08012100,702573.5,702573.5,0
08012200,31113.9,31113.9,0
08013100,1889240.9,1889240.9,0
08013200,127840.86,127840.86,0
08021200,1272.6,1272.6,0
08023100,18036,18036,0
08023200,42819,42819,0
08026100,284662,284662,0
08026200,658028.9,658028.9,0
08028000,96,96,0
08029100,407846.4,407846.4,0
08029900,20548362.59,20548362.59,0
08031000,119976977.6,119976977.6,0
08039000,556867908.34,556867908.34,0
08041010,202179,202179,0
08041020,268890,268890,0
08042010,3717985.79,3717985.79,0
08043000,102211163.7,102211163.7,0
08044000,90164727.8,90164727.8,0
08045010,19362093.96,19362093.96,0
08045020,101004848.69,101004848.69,1.490116119384766e-08
08051000,1488996893.33,1488996893.33,0
08052000,3993299.639999999,3993299.639999999,0
08052100,126608368.53,126608368.53,0
08052900,1785143.2,1785143.2,0
08055000,93906972.91,93906972.91,0
08059000,4899761.78,4899761.78,0
08061000,206440206.8,206440206.8,0
08062000,123512.85,123512.85,0
08071100,163410354.81,163410354.81,0
08071900,4801968.87,4801968.87,0
08072000,430832915.47,430832915.47,5.960464477539062e-08
08081000,248218253.87,248218253.87,0
08083000,326920.93,326920.93,0
08084000,39325.5,39325.5,0
08091000,785,785,0
08093010,13781927.47,13781927.47,-1.862645149230957e-09
08093020,618825.5,618825.5,0
08094000,15450670.37,15450670.37,0
08101000,148085101.91,148085101.91,0
08102000,149712.06,149712.06,0
08104000,27439.41,27439.41,0
08105000,175583.18,175583.18,0
08107000,15633111.49,15633111.49,1.862645149230957e-09
08109011,2039112.29,2039112.29,0
08109012,9845758.81,9845758.81,0
08109013,377,377,0
08109014,1806006.39,1806006.39,0
08109015,39834856.95999999,39834856.95999999,0
08109016,4445896.689999999,4445896.689999999,0
08109017,100,100,0
08109090,14860145.59,14860145.59,0
08111000,1646764.1,1646764.1,0
08112000,3531627.92,3531627.92,0
08119000,37254188.03,37254188.03,0
08129000,38453.86,38453.86,0
08132010,3370,3370,0
08132020,53022.95,53022.95,0
08133000,62887,62887,0
08134010,9181,9181,0
08140000,94389.7,94389.7,0
09011110,5700825622.61,5700825622.61,0
09011190,14509383.8,14509383.8,0
09011200,4547543.689999999,4547543.689999999,0
09012100,132648465.3,132648465.3,0
09019000,2664839.8,2664839.8,0
09021000,28804.85,28804.85,3.637978807091713e-12
09030010,251670,251670,0
09030090,1880584.91,1880584.91,-2.328306436538696e-10
09041100,13106352.41,13106352.41,0
09041200,2737600,2737600,0
09042100,81806.23000000001,81806.23000000001,0
09092200,3650,3650,0
09096110,585196.56,585196.56,0
09096210,23291.32,23291.32,0
09101100,16996271.9,16996271.9,0
09101200,6940,6940,0
09102000,78761.61999999998,78761.61999999998,0
09109100,1897.480000000002,1897.480000000002,0
09109900,2062393.14,2062393.14,0
10011100,242049475.49,242049475.49,0
10011900,682776183.9,682776183.9,0
10019090,2688488.999999999,2688488.999999999,0
10019100,45241442.77,45241442.77,0
10019900,1447865977.1,1447865977.1,0
10021000,1032400.15,1032400.15,0
10029000,3072112.02,3072112.02,0
10031000,4275573.06,4275573.06,0
10039010,18432448.72,18432448.72,0
10039080,21505141.2,21505141.2,0
10039090,5461453.96,5461453.96,0
10040090,17499.02,17499.02,0
10041000,40857463.99,40857463.99,0
