01_agropecuaria,02_extrativa_mineral,03_extracao_de_petroleo_e_gas,04_minerais_nao_metalicos,05_siderurgia
138190815,8249472,46638617,13605771,23042977
14247085.314200474,1843642.4860833997,1859596.6827627386,3739013.9040696914,1144876.5348306699
11613142.397042375,1310150.5853519328,1202308.4222683024,2650038.9527984574,774144.3652542098
2633942.9171580994,533491.900731467,657288.2604944361,1088974.951271234,370732.16957646003
2629512.223035693,459022.05048462556,526404.2209809383,1051936.7931299675,306011.914882653
4430.694122406246,74469.85024684141,130884.03951349789,37038.15814126656,64720.254693807066
0,0,0,0,0
124178083.56487168,5614252.573405398,42379966.33420319,8324654.770038389,18571834.963744227
481406.1625304989,193498.62483160882,0,63395.32698702057,0
123696677.40234119,5420753.94857379,42379966.33420319,8261259.443051368,18571834.963744227
6094.120927827447,791576.940511202,2399053.9830340696,1542102.32589192,3326265.5014251033
-240448,0,0,0,0
259783541,18641232,56396200,35463957,79269201
12711200,245500,63300,402500,82700
Componentes do valor adicionado (valores correntes em 1 000 000 R$),,,,
"06
Metalurgia
não-ferrosos","07
Outros
metalúrgicos","08
Máquinas
e tratores","10
Material
elétrico","11
Equipamentos
eletrônicos"
6035974,13938279,42686504,4855535,7065724
771536.394756552,6597289.66862515,11781932.109687977,2119689.815602628,1717010.9018984777
541919.8801648817,4837513.761213713,8235024.805059921,1547035.2405884862,1239023.1476953914
229616.51459167025,1759775.907411436,3546907.3046280555,572654.575014142,477987.7542030862
214215.78155875034,1735235.2353393524,3530033.7550902925,560442.0511958099,448858.9892169145
15400.733032919889,24540.6720720837,16873.549537762796,12212.523818332164,29128.76498617166
0,0,0,0,0
4076989.622947788,5224858.813546486,27677627.246787623,1680284.8670005123,4521365.833434392
0,703687.1876632627,0,0,0
4076989.622947788,4521171.6258832235,27677627.246787623,1680284.8670005123,4521365.833434392
1187447.9822956603,2116473.517828365,3454045.643524401,1135187.3173968599,827347.2646671315
0,-343,-227101,-79627,0
28031827,51275353,74978406,25894888,18842790
63900,722500,640000,119100,96000
Componentes do valor adicionado (valores correntes em 1 000 000 R$),,,,
"12
Automóveis,
caminhões e ônibus","13
Outros veículos
e peças","14
Madeira e
mobiliário","15
Papel e gráfica","16
Indústria
da borracha"
6881668,8907753,9953335,21335664,5885922
2000833.914314935,5120230.5792491995,4264224.083686659,7238557.823771632,999060.9217155871
1403407.7677723835,3646459.951721984,3206789.7851219196,5189612.461225396,734750.0263492537
597426.1465425515,1473770.6275272155,1057434.298564739,2048945.362546236,264310.8953663335
551842.5986916515,1433846.9417034471,1055441.9267710135,2021271.9757632688,257375.44890577212
45583.54785089994,39923.6858237683,1992.3717937254833,27673.386782967158,6935.446460561378
0,0,0,0,0
3221413.5680193044,2327225.242014054,4729238.031733578,11480002.331908077,4076391.231632947
0,0,874000.1901616424,195927.77232868792,0
3221413.5680193044,2327225.242014054,3855237.8415719355,11284074.55957939,4076391.231632947
1659420.5176657604,1969892.1787367458,959872.8845797636,2617103.8443202893,810469.8466514659
0,-509595,0,0,0
38532365,44024630,26138392,59540449,18855512
76200,224500,913300,428500,55000
