codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
0,OUTRAS OCUPAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,,-,-,,,0.5,0.5,0.0,,0.0,2023,
10,MILITAR DA AERONÁUTICA,,12149248.658796854,12490635.555462537,,,0.5,0.5,2030681.2528310888,6245317.777731269,2030681.2528310888,2023,6074624.329398427
20,MILITAR DO EXÉRCITO,,16598380.217367442,17510304.313843317,,,0.5,0.5,2147569.4427510398,8755152.156921659,2147569.4427510398,2023,8299190.108683721
30,MILITAR DA MARINHA,,7681750.417675814,9456574.974018369,,,0.5,0.5,683459.4500029697,4728287.487009184,683459.4500029697,2023,3840875.208837907
40,POLICIAL MILITAR,,28903734.398222804,25218705.388565216,,,0.5,0.5,3712413.8400277873,12609352.694282608,3712413.8400277873,2023,14451867.199111402
50,BOMBEIRO MILITAR,,22230981.510653447,29497591.674154233,,,0.5,0.5,4526636.554029492,14748795.837077117,4526636.554029492,2023,11115490.755326724
101,"MEMBRO DO PODER EXECUTIVO (PRESIDENTE DA REPÚBLICA, VICE-PRESIDENTE DA REPÚBLICA, MINISTRO DE ESTADO, GOVERNADOR, VICE-GOVERNADOR, PREFEITO, VICE-PREFEITO)",,16850658.38439232,17326334.95865115,,,0.5,0.5,1924768.2719036203,8663167.479325576,1924768.2719036203,2023,8425329.19219616
102,"MEMBRO DO PODER JUDICIÁRIO (MINISTRO, JUIZ E DESEMBARGADOR) E DE TRIBUNAL DE CONTAS (MINISTRO E CONSELHEIRO)",,49261187.12955007,60731057.06615548,,,0.5,0.5,10462236.368035438,30365528.53307774,10462236.368035438,2023,24630593.564775035
103,"MEMBRO DO PODER LEGISLATIVO (SENADOR, DEPUTADO FEDERAL, DEPUTADO ESTADUAL E VEREADOR)",,9622609.800731514,8589296.81144994,,,0.5,0.5,614573.844621478,4294648.40572497,614573.844621478,2023,4811304.900365757
104,MEMBRO DO MINISTÉRIO PÚBLICO (PROCURADOR E PROMOTOR),,31151268.23611343,40638869.22457584,,,0.5,0.5,5963356.772102028,20319434.61228792,5963356.772102028,2023,15575634.118056715
105,"DIRIGENTE SUPERIOR DA ADMINISTRAÇÃO PÚBLICA (OCUPANTE DE CARGO DE DIREÇÃO, CHEFIA, ASSESSORIA E DE NATUREZA ESPECIAL), INCLUSIVE OS DAS FUNDAÇÕES PÚBLICAS E AUTARQUIAS",,22792949.30382728,23617336.61313259,,,0.5,0.5,974704.009044373,11808668.306566294,974704.009044373,2023,11396474.65191364
106,DIPLOMATA E AFINS,,1499294.3164418137,1152103.5341510905,,,0.5,0.5,4736.228240215554,576051.7670755453,4736.228240215554,2023,749647.1582209069
107,SERVIDOR DAS CARREIRAS DO PODER LEGISLATIVO,,7649611.617924777,13745622.177678717,,,0.5,0.5,1326618.8863780543,6872811.088839359,1326618.8863780543,2023,3824805.8089623884
108,SERVIDOR DAS CARREIRAS DO MINISTÉRIO PÚBLICO,,5390861.830358617,11157994.687452413,,,0.5,0.5,641442.8390658787,5578997.343726207,641442.8390658787,2023,2695430.9151793085
109,"SERVIDOR DAS CARREIRAS DO PODER JUDICIÁRIO, OFICIAL DE JUSTIÇA, AUXILIAR, ASSISTENTE E ANALISTA JUDICIÁRIO",,176853708.8393569,196567813.84014854,,,0.5,0.5,31823093.800727352,98283906.92007427,31823093.800727352,2023,88426854.41967845
110,"ADVOGADO DO SETOR PÚBLICO, PROCURADOR DA FAZENDA, CONSULTOR JURÍDICO, PROCURADOR DE AUTARQUIAS E FUNDAÇÕES PÚBLICAS, DEFENSOR PÚBLICO",,29048923.758715786,30351549.06511548,,,0.5,0.5,1497409.341049233,15175774.53255774,1497409.341049233,2023,14524461.879357893
111,SERVIDOR DAS CARREIRAS DE AUDITORIA FISCAL E DE FISCALIZAÇÃO,,18894995.651369005,20715156.24581152,,,0.5,0.5,2321022.961792377,10357578.12290576,2321022.961792377,2023,9447497.825684503
112,"SERVIDOR DAS CARREIRAS DO BANCO CENTRAL, CVM E SUSEP",,2089454.3562535779,1451870.5686712929,,,0.5,0.5,140701.04349613565,725935.2843356464,140701.04349613565,2023,1044727.1781267889
113,"DELEGADO DE POLÍCIA E OUTROS SERVIDORES DAS CARREIRAS DE POLÍCIA, EXCETO MILITAR",,20873038.127225433,28973814.831459887,,,0.5,0.5,2072845.0201706183,14486907.415729944,2072845.0201706183,2023,10436519.063612716
114,"SERVIDOR DAS CARREIRAS DE GESTÃO GOVERNAMENTAL, ANALISTA, GESTOR E TÉCNICO DE PLANEJAMENTO",,2820991.1277955472,4355704.083088863,,,0.5,0.5,200221.86441340865,2177852.0415444314,200221.86441340865,2023,1410495.5638977736
115,SERVIDOR DAS CARREIRAS DE CIÊNCIA E TECNOLOGIA,,2696521.2979932907,2830838.7547373357,,,0.5,0.5,228527.10062640588,1415419.3773686679,228527.10062640588,2023,1348260.6489966454
116,"SERVIDOR DAS DEMAIS CARREIRAS DA ADMINISTRAÇÃO PÚBLICA DIRETA, AUTÁRQUICA E FUNDACIONAL",,52958419.97717347,60581906.20813907,,,0.5,0.5,7004671.81811506,30290953.104069535,7004671.81811506,2023,26479209.988586735
117,TITULAR DE CARTÓRIO,TITULAR DE CARTÓRIO,24278582199.870415,28075560143.201035,6980,6912,0.07745463951812571,0.9225453604818743,4794143012.8905,25900977753.03994,4794143012.8905,2023,22398093367.568268
118,"DIRIGENTE OU ADMINISTRADOR DE PARTIDO POLÍTICO, ORGANIZAÇÃO PATRONAL, SINDICAL, FILANTRÓPICA E RELIGIOSA",,10318376.762559991,12726759.631500315,,,0.5,0.5,227721.57760933315,6363379.815750157,227721.57760933315,2023,5159188.381279996
