ncm,tipo_emitente,tipo_destinatario,cfop_receitabruta,cfop_compra,numero_indicador_mei,numero_indicador_simples,valor_produtos_servicos,tributos_nfe
00000000,PF,PF,True,False,-,-,0,0
00000000,PF,PJ,True,False,1,1,0,0
00000000,PF,PJ,True,False,2,1,0,0
00000000,PF,PJ,True,False,2,2,0,0
00000000,PJ,PF,False,True,1,1,0,0
00000000,PJ,PF,False,True,2,1,0,0
00000000,PJ,PF,False,True,2,2,0,0
00000000,PJ,PF,True,False,-,-,0,0
00000000,PJ,PJ,True,False,1,1,0,0
00000000,PJ,PJ,True,False,2,1,0,0
00000000,PJ,PJ,True,False,2,2,0,0
00000006,PJ,PF,False,True,2,2,0,0
00012802,PJ,PF,False,True,2,2,0,0
01012100,PF,PF,True,False,-,-,11439798.08,121861.5
01012100,PF,PJ,True,False,2,1,227000,576
01012100,PF,PJ,True,False,2,2,2312057.25,88669.95999999999
01012100,PJ,PF,False,True,2,2,10461186.41,0
01012100,PJ,PF,True,False,-,-,2179760,0
01012100,PJ,PJ,True,False,2,2,3473609.24,0
01012900,PF,PF,True,False,-,-,135595917.15,206891.49
01012900,PF,PJ,True,False,2,1,203639,996.8000000000001
01012900,PF,PJ,True,False,2,2,97673435.74000001,871909.2400000001
01012900,PJ,PF,False,True,2,1,268000,0
01012900,PJ,PF,False,True,2,2,80127.87999999999,1534.35
01012900,PJ,PF,True,False,-,-,1854798.2,19718
01012900,PJ,PJ,True,False,2,1,40980,3237.5
01012900,PJ,PJ,True,False,2,2,268258,486
01013000,PF,PF,True,False,-,-,2232112.3,50258.01
01013000,PF,PJ,True,False,2,2,497094.4,7826.72
01013000,PJ,PF,False,True,2,2,380000,0
01013000,PJ,PF,True,False,-,-,5000,0
01013000,PJ,PJ,True,False,2,2,47500,0
01019000,PF,PF,True,False,-,-,14988726.22,136533.76
01019000,PF,PJ,True,False,2,1,36535.38,150
01019000,PF,PJ,True,False,2,2,15803001.19,24433.12
01019000,PJ,PF,True,False,-,-,2750,98
01021010,PF,PF,True,False,-,-,779651.6,3379.2
01021010,PF,PJ,True,False,2,2,46500,0
01022110,PF,PF,True,False,-,-,288919625.84,134665.44
01022110,PF,PJ,True,False,1,1,33300,0
01022110,PF,PJ,True,False,2,1,949066.8,0
01022110,PF,PJ,True,False,2,2,610987366.68,1858352.91
01022110,PJ,PF,False,True,2,2,6336847.34,0
01022110,PJ,PF,True,False,-,-,4690430.05,0
01022110,PJ,PJ,True,False,2,1,494000,0
01022110,PJ,PJ,True,False,2,2,4232740.77,0
01022190,PF,PF,True,False,-,-,3814843424.87,4391004.7658
01022190,PF,PJ,True,False,1,1,153826.4,0
01022190,PF,PJ,True,False,2,1,30983379.99,183976.5
01022190,PF,PJ,True,False,2,2,5584731808.39,15411750.9934
01022190,PJ,PF,False,True,2,1,360107.5,0
01022190,PJ,PF,False,True,2,2,214770490.39,1904997.01
01022190,PJ,PF,True,False,-,-,40989862.32,3990.92
01022190,PJ,PJ,True,False,2,1,939734,0
01022190,PJ,PJ,True,False,2,2,280496750.82,11183.46
01022911,PF,PF,True,False,-,-,893645241.77,629446.85
01022911,PF,PJ,True,False,2,1,856520.13,33310.27
01022911,PF,PJ,True,False,2,2,2103133143.87,4956980.89
01022911,PJ,PF,False,True,2,2,364919.5,0
01022911,PJ,PJ,True,False,2,1,63072,0
01022911,PJ,PJ,True,False,2,2,8915232.03,0
01022919,PF,PF,True,False,-,-,2776465555.85,1425635.29
01022919,PF,PJ,True,False,1,1,2300,0
01022919,PF,PJ,True,False,2,1,13139911.67,5943.51
01022919,PF,PJ,True,False,2,2,849264023.58,17438200.45
01022919,PJ,PF,False,True,2,2,50166448.14,23468.25
01022919,PJ,PF,True,False,-,-,2922700,898.8
01022919,PJ,PJ,True,False,2,1,354635.9,0
01022919,PJ,PJ,True,False,2,2,198537165.11,0
01022990,PF,PF,True,False,-,-,12527661607.57,12113196.7504
01022990,PF,PJ,True,False,1,1,370113,8960.47
01022990,PF,PJ,True,False,2,1,44435855.2,252050.53
01022990,PF,PJ,True,False,2,2,20699558201.52,67621108.0134
01022990,PJ,PF,False,True,2,1,88100,0
01022990,PJ,PF,False,True,2,2,997003916.92,14658164.43
01022990,PJ,PF,True,False,-,-,2866499.6,8372.31
01022990,PJ,PJ,True,False,2,1,2719603.69,0
01022990,PJ,PJ,True,False,2,2,778559764.52,620130.69
01023110,PF,PF,True,False,-,-,1702631,77176
01023190,PF,PF,True,False,-,-,38652163.82,9970.57
01023190,PF,PJ,True,False,2,1,4105159.84,228
01023190,PF,PJ,True,False,2,2,13633928.31,47335.36
01023190,PJ,PF,False,True,2,2,1997500,0
01023190,PJ,PJ,True,False,2,2,60000.01,0
01023911,PF,PF,True,False,-,-,1945800,0
01023911,PF,PJ,True,False,2,2,2329000,0
01023911,PJ,PF,True,False,-,-,47280,0
01023911,PJ,PJ,True,False,2,2,18551.88,0
01023919,PF,PF,True,False,-,-,16505590.66,0
01023919,PF,PJ,True,False,2,2,123756832.54,70878.4
01023919,PJ,PF,False,True,2,2,104950,0
01023919,PJ,PJ,True,False,2,2,368918.32,0
01023990,PF,PF,True,False,-,-,20769643.16,20606.46
01023990,PF,PJ,True,False,1,1,11064,0
01023990,PF,PJ,True,False,2,1,14616,0
01023990,PF,PJ,True,False,2,2,147850996.46,602903.9600000001
01023990,PJ,PF,False,True,2,2,181680,0
01023990,PJ,PJ,True,False,2,2,312215.56,0
01029000,PF,PF,True,False,-,-,14373450889.03,4698488.404
01029000,PF,PJ,True,False,1,1,144422.97,0
01029000,PF,PJ,True,False,2,1,35110856.07,31585.72
01029000,PF,PJ,True,False,2,2,7019339995.71,85746270.7199
01029000,PJ,PF,False,True,1,1,14050,0
01029000,PJ,PF,False,True,2,1,429914,0
01029000,PJ,PF,False,True,2,2,1795760452.36,12868390.41
01029000,PJ,PF,True,False,-,-,14833602.42,605.6
01029000,PJ,PJ,True,False,2,1,1624473.27,0
01029000,PJ,PJ,True,False,2,2,970846539.54,2570
01029011,PF,PJ,True,False,2,2,6919.5,0
01029019,PJ,PF,False,True,2,2,1474683.86,0
01029090,PF,PF,True,False,-,-,78403491.04,53806.34
01029090,PF,PJ,True,False,2,1,79196.79,0
01029090,PF,PJ,True,False,2,2,51966276.32,2881696.56
01029090,PJ,PF,False,True,2,2,497270.12,0
01031000,PF,PF,True,False,-,-,32844244.31,10852.64
01031000,PF,PJ,True,False,1,1,13390.8,0
01031000,PF,PJ,True,False,2,1,2620924.9,57200.48
01031000,PF,PJ,True,False,2,2,164955320.5,992555.5500000003
01031000,PJ,PF,False,True,2,1,55200,0
01031000,PJ,PF,False,True,2,2,2263256.39,126407.24
01031000,PJ,PF,True,False,-,-,417218.77,0
01031000,PJ,PJ,True,False,2,2,2572102.8,0
01039100,PF,PF,True,False,-,-,64576972.57,353012.52
01039100,PF,PJ,True,False,1,1,52584.07,0
01039100,PF,PJ,True,False,2,1,10763942.64,234747.7899999999
01039100,PF,PJ,True,False,2,2,380788905.84,16261336.19
01039100,PJ,PF,False,True,2,1,111200,0
01039100,PJ,PF,False,True,2,2,334141658.04,8187703.55
01039100,PJ,PJ,True,False,2,1,11250,0
01039100,PJ,PJ,True,False,2,2,53046087.16,0
