ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011010,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011010,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011090,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011090,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011100,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011100,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011900,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011900,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012000,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012000,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012100,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012100,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012900,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012900,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01013000,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01013000,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019000,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019000,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019010,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019010,Animais vivos,1
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019090,-,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019090,Animais vivos,1
