aliquotas,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren_1,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren_2,produtos_servicos_prestados_pela_pf_com_aproveitamento_de_creditos_pelo_adquiren_3
Alíq. Referência - Demais serviços e bens,7.684390408235763,8.280796540270485,7.684390408235763,8.280796540270485
Alíq. Referência - Titular de Cartório,22.39809336756827,25.90097775303994,22.39809336756827,25.90097775303994
Alíq. Reduzida em 30% - Profissionais Liberais - Art. 127 ,3.6129727111023096,3.956088271251125,3.6129727111023096,3.956088271251125
Alíq. reduzida em 60%  - Serviços de saúde - Art. 130 (Anexo III),2.400930806054087,2.509332673665748,2.400930806054087,2.509332673665748
"Alíq. reduzida em 60%  - Prof. artes, cultura, eventos, jornalistica e audio - Art. 139 (Anexo X)",0.11653676463858179,0.11855033991088007,0.11653676463858179,0.11855033991088007
Alíq. reduzida em 60%  - Prof. educação - Art. 129,0.06648861777462617,0.0698444468570947,0.06648861777462617,0.0698444468570947
DADOS,,,,
- Declaração do Imposto de Renda das Pessoas Físicas (DIRPF),,,,
- Contas Nacionais,,,,
Especificação,,,,
Periodicidade,,,,
2023-2024,,,,
Escopo,,,,
Ficha de rendimentos do trabalho não assalariado da DIRPF,,,,
Tabela de Demanda das Contas Nacionais ,,,,
Informação a extrair,,,,
"Receitas do trabalho não assalariado discriminadas pela atividade do contribuinte de acordo com a ocupação principal, declaradas na DIRPF",,,,
"Valores da Demanda Final, da Demanda Total e da Exportação de Bens e Serviços da Tabela de Demanda das Contas Nacionais, discriminados por código do produto",,,,
Segregação/Tratamento dos Dados,,,,
Estimativa da base de cálculo dos débitos da CBS pela distribuição dos rendimentos do trabalho não assalariado (DIRPF) de acordo com a classificação das ocupações dos contribuintes nas alíquotas incidentes de CBS sobre suas atividades,,,,
"Estimativa do quanto a Demanda Intermediária representa da Demanda Total, discrminado por atividade, da tabela de Demanda das Contas Nacionais",,,,
Associação das atividades da tabela de Demanda das Contas Nacionais com as ocupações da DIRPF,,,,
"Estimativa das bases de cálculo da CBS, referentes a parcela do consumo intermediário, discriminadas pelas regras de incidencia da CBS",,,,
