titular_de_cartorio,cartorio,aliq_referencia_titular_de_cartorio,aliquota_de_referencia,aliquota_de_referencia_1,24278582199_870415,24278582199_870415_1,28075560143_201035,28075560143_201035_1,0_3219776208123986,0_34087410425897896,24278582199_870415_2,24278582199_870415_3,28075560143_201035_2,28075560143_201035_3,22398093367_568268,22398093367_568268_1,25900977753_03994,25900977753_03994_1,0_9225453604818743,22398093367_568268_2,22398093367_568268_3,25900977753_03994_2,25900977753_03994_3,aliquota_de_referencia_2,aliquota_de_referencia_3,4248318848_6107416,4248318848_6107416_1,4794143012_8905,4794143012_8905_1,4248318848_6107416_2,4248318848_6107416_3,4794143012_8905_2,4794143012_8905_3
"LC 214/2025, art 127",Profissional liberal,Alíq. Reduzida em 30% - Profissionais Liberais - Art. 127 ,Redução de 30%,Alíquota de referência,5411569402.453108,4329255521.962486,5915483727.886847,4732386982.309478,0.07176713313483046,0.07182172703650608,5411569402.453108,4329255521.962486,5915483727.886847,4732386982.309478,4516215888.877887,3612972711.1023097,4945110339.063906,3956088271.251125,0.8359604330837063,4516215888.877887,3612972711.1023097,4945110339.063906,3956088271.251125,Redução de 30%,Alíquota de referência,392809354.1742075,314247483.339366,417738657.1497284,334190925.71978277,392809354.1742075,314247483.339366,417738657.1497284,334190925.71978277
Profissionais de saúde,Profissionais de saúde,Alíq. reduzida em 60%  - Serviços de saúde - Art. 130 (Anexo III),Redução de 60%,Alíquota de referência,24343716374.105022,19474973099.28402,25442833563.53313,20354266850.826504,0.3228414169880151,0.30890935235284717,24343716374.105022,19474973099.28402,25442833563.53313,20354266850.826504,3001163507.5676084,2400930806.0540867,3136665842.082185,2509332673.665748,0.12328288176903085,3001163507.5676084,2400930806.0540867,3136665842.082185,2509332673.665748,Redução de 60%,Alíquota de referência,4881546786.421443,3905237429.1371546,5108431052.787443,4086744842.2299547,4881546786.421443,3905237429.1371546,5108431052.787443,4086744842.2299547
"LC 214/2025, art 139","Prof. artes, cultura, eventos, jornalistica e audio","Alíq. reduzida em 60%  - Prof. artes, cultura, eventos, jornalistica e audio - Art. 139 (Anexo X)",Redução de 60%,Alíquota de referência,277701961.95273006,222161569.56218407,285241599.87161434,228193279.89729148,0.003682826957043336,0.003463206944320961,277701961.95273006,222161569.56218407,285241599.87161434,228193279.89729148,145670955.79822722,116536764.63858178,148187924.88860008,118550339.91088007,0.5195172266433039,145670955.79822722,116536764.63858178,148187924.88860008,118550339.91088007,Redução de 60%,Alíquota de referência,7916253.217777339,6333002.574221872,8181694.366867375,6545355.4934939,7916253.217777339,6333002.574221872,8181694.366867375,6545355.4934939
"LC 214/2025, art 129",Profissionais da educação,Alíq. reduzida em 60%  - Prof. educação - Art. 129,Redução de 60%,Alíquota de referência,602870206.2312582,482296164.9850066,633298412.4226156,506638729.9380925,0.007995142099445025,0.0076890729147382755,602870206.2312582,482296164.9850066,633298412.4226156,506638729.9380925,83110772.2182827,66488617.774626166,87305558.57136838,69844446.8570947,0.13785848323445224,83110772.2182827,66488617.774626166,87305558.57136838,69844446.8570947,Redução de 60%,Alíquota de referência,33375402.374865163,26700321.899892133,34836844.08527471,27869475.26821977,33375402.374865163,26700321.899892133,34836844.08527471,27869475.26821977
Não contribuinte,Transportador autonomo,,Não contribuinte,Não contribuinte,1279148098.02806,0,1309020375.8685443,0.0,0.01696380199960679,0.015893223351734247,1279148098.02806,0,1309020375.8685443,0.0,639574049.01403,,654510187.9342722,,0.5,639574049.01403,,654510187.9342722,,Não contribuinte,Não contribuinte,24255391.11079702,0,25662287.883450333,0.0,24255391.11079702,0,25662287.883450333,0.0
,,,,,75404564263.23001,64156049372.13564,82363429173.46,70458639066.71338,1.0,1.0,75404564263.23001,64156049372.13564,82363429173.46,70458639066.71338,40389316551.339005,36279412675.373634,45223753280.91837,40835590024.99527,0.5490756484370716,40389316551.339005,36279412675.373634,45223753280.91837,40835590024.99527,,,10530087292.35909,9254329290.720785,11379884266.331251,10042206185.33634,10530087292.35909,9254329290.720785,11379884266.331251,10042206185.33634
,,,,,0,,0,,,,0,,0,,0,,0.0,,,0,,0.0,,,,0,,0.0,,0,,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,10505831901.248293,,11354221978.447802,,10505831901.248293,,11354221978.447802,
,,,,,HIPÓTESE DE ALTERAÇÃO DE COMPORTAMENTO,,,,,,HIPÓTESE DE ALTERAÇÃO DE COMPORTAMENTO,,,,,,,,,,,,,,,,,,,,,,
,,,,,omissão de receita,,perde tudo,,,,omissão de receita,,perde tudo,,definição quanto é consumo intermediário para demais atividades,,,,,definição quanto é consumo intermediário para demais atividades,,,,,,,,,,,,,
,,,,,vira pj,,perde parte,,,,vira pj,,perde parte,,0.5,,,,,0.5,,,,,,,,,,,,,
,,,,,redutor,,0.2,,,,redutor,,0.2,,,,,,,,,,,,,,,,,,,,
