ref,valor_nfe,base_cbs,valor_nfe_destinatario_pj,base_cbs_destinatario_pj
"Alíquota 0% - Automoveis Deficientes, Taxi - Art 149",0,0,0,0
Alíquota 0% - Cesta Básica - Anexo I - Art 125,17261922525.09,25706661484.59946,14278663547.04048,21263956533.39001
Alíquota 0% - Cuidados básicos - art 147,0,0,0,0
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,0,0,0,0
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,0,0,0,0
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,0,0,0,0
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,0,0,0,0
Alíquota 0% - Medicamentos - art 146,1136245.03,1692109.688669586,939875.6405484634,1399674.045233525
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,24476232130.72,36450297635.64038,20246173795.86984,30150844170.01115
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",311867801.14,464437259.5346566,257969840.6803137,384171772.1746236
Alíquota de Referência - Demais Produtos,2842447151.46,4233006294.880544,2351206620.638528,3501445020.926981
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,40059302053.31567,59656791744.7849,33136129253.11052,49346720006.50775
Alíquota reduzida 60%  -Dispositivos acessibilidade - Anexo V - Art 132,0,0,0,0
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,12606782.6525,18774171.50880468,10428039.38229212,15529560.97207704
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,134649889366.8906,200522225717.4612,111379277952.473,165867352872.2958
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",0,0,0,0
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,863805.4725757575,1286389.441255686,714519.9322424392,1064071.629070155
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,116394893204.9987,173336667095.3359,96279166833.95142,143380086790.5795
Alíquota reduzida 60%  -Produtos higiene - Anexo VIII - Art 136,0,0,0,0
Alíquota reduzida 60% - Anexo X - art 139,60340,89859.04969311312,49911.85409250528,74329.33008243029
"Alíquota reduzida 60% - bens e serviços relacionados à soberania, segurança (nacional, da informação e cibernética) - Anexo XI - art 142",0,0,0,0
