codigo_ncm,descricao_ncm
61041200,"Matérias têxteis e suas obras - Vestuário e seus acessórios, de malha. - Tailleurs(Fatos de saia-casaco*), conjuntos,blazers(casacos*), vestidos, saias, saias-calças, calças, jardineiras, bermudas eshorts(calções) (exceto de banho), de malha, de uso feminino. - Tailleurs Malha De Algodao Uso Fem."
81123100,"Metais comuns e suas obras - Outros metais comuns; cermets; obras dessas matérias. - Berílio, cromo, háfnio (céltio), rênio, tálio, cádmio, germânio, vanádio, gálio, índio e nióbio (colômbio), e suas obras, incluindo os desperdícios e resíduos, e sucata. - -- Em formas brutas; desperdícios e resíduos, e sucata; pós"
48119000,"Pastas de madeira ou de outras matérias fibrosas celulósicas; desperdícios e aparas de papel ou de cartão; papel e suas obras - Papel e cartão; obras de pasta de celulose, papel ou de cartão. - Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma quadrada ou retangular, de qualquer dimensão, exceto os produtos do tipo descrito nos textos das posições 48.03, 48.09 ou 48.10. - Outs.Pap.Cart.D/Past.Cel.Imp.Rec."
85013310,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Motores e geradores, elétricos, exceto os grupos eletrogêneos. - Motores"
01039100,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie suína. - -- De peso inferior a 50 kg
48113113,"Pastas de madeira ou de outras matérias fibrosas celulósicas; desperdícios e aparas de papel ou de cartão; papel e suas obras - Papel e cartão; obras de pasta de celulose, papel ou de cartão. - Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma quadrada ou retangular, de qualquer dimensão, exceto os produtos do tipo descrito nos textos das posições 48.03, 48.09 ou 48.10. - Pap.Cart.Branq.Rev.D/Pol.Polip.Pes./M2.+150"
29349912,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Ácidos nucleicos e seus sais, de constituição química definida ou não; outros compostos heterocíclicos. - Pirenoxina sódica (catalino sódico)"
95039000,"Mercadorias e produtos diversos - Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios. - NÃO INFORMADO - Outros Brinquedos De Qualquer Tipo"
85438100,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Máquinas e aparelhos elétricos com função própria, não especificados nem compreendidos noutras posições do presente Capítulo. - Cartoes E Etiq.D/Acionam.P/Aproximacao"
29152910,"Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados. - Acetato de sódio"
84451929,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes. - Máquinas para preparação de matérias têxteis; máquinas para fiação, dobragem ou torção, de matérias têxteis e outras máquinas e aparelhos para fabricação de fios têxteis; máquinas de bobinar (incluindo as bobinadoras de trama) ou de dobar matérias têxteis e máquinas para preparação de fios têxteis para a sua utilização nas máquinas das posições 84. - Outras"
32041919,"Produtos das indústrias químicas ou das indústrias conexas - Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever. - Matérias corantes orgânicas sintéticas, mesmo de constituição química definida; preparações indicadas na Nota 3 do presente Capítulo, à base de matérias corantes orgânicas sintéticas; produtos orgânicos sintéticos do tipo utilizado como agentes de avivamento fluorescentes ou como luminóforos, mesmo de constituição química definida. - Outras"
95030040,"Mercadorias e produtos diversos - Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios. - NÃO INFORMADO - Trens elétricos, incluindo os trilhos, sinais e outros acessórios"
41071190,"Peles, couros, peleteria (peles com pêlo*) e obras destas matérias; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa - Peles, exceto as peles com pelo, e couros. - Couros preparados após curtimenta ou após secagem (crusting) e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 41.14. - Outros"
85438940,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Máquinas e aparelhos elétricos com função própria, não especificados nem compreendidos noutras posições do presente Capítulo. - Transcod.Ou Conversores D/Padroes D/Televis."
32151100,"Produtos das indústrias químicas ou das indústrias conexas - Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever. - Tintas de impressão, tintas de escrever ou de desenhar e outras tintas, mesmo concentradas ou no estado sólido. - -- Pretas"
94060092,"Mercadorias e produtos diversos - Móveis; mobiliário médico-cirúrgico; colchões, almofadas e semelhantes; luminárias e aparelhos de iluminação não especificados nem compreendidos noutros Capítulos; anúncios, cartazes ou tabuletas e placas indicadoras, luminosos e artigos semelhantes; construções pré-fabricadas. - Construções pré-fabricadas. - Com estrutura de ferro ou aço e paredes exteriores constituídas essencialmente dessas matérias"
29225041,Produtos das indústrias químicas ou das indústrias conexas - Produtos químicos orgânicos. - Compostos aminados de funções oxigenadas. - Tartarato
85389010,"Máquinas e aparelhos, material elétrico, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios. - Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 85.35, 85.36 ou 85.37. - Circuitos impressos com componentes elétricos ou eletrônicos, montados"
30044010,"Produtos das indústrias químicas ou das indústrias conexas - Produtos farmacêuticos. - Medicamentos (exceto os produtos das posições 30.02, 30.05 ou 30.06) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profiláticos, apresentados em doses (incluindo os destinados a serem administrados por via percutânea) ou acondicionados para venda a retalho. - Vimblastina; vincristina; derivados destes produtos; topotecan ou seu cloridrato"
