soma_de_total_livro_caixa,rotulos_de_coluna,distribuicao_das_ocupacoes_0_e_null,0_3809258216463364,medio_das_despesas_do_livro_caixa_que_dao_direito_a_credito_de_cbs
Rótulos de Linha,2023,,Estimativa BC Crédito CBS,
0,1016223417.2,Ocupação,2023,2024
10,5608774.58,10,2232467.919121664,2030681.2528310888
20,5463513.59,20,2178551.415479477,2147569.4427510398
30,1734699.75,30,691740.3743680004,683459.4500029697
40,10409800.32,40,4142125.724073301,3712413.8400277873
50,9611326.69,50,3849709.5963671,4526636.554029492
101,5772192.97,101,2293712.9655514895,1924768.2719036203
102,12757190.48,102,5212293.717988329,10462236.368035438
103,2463755.07,103,974264.2340127128,614573.844621478
104,10883314.07,104,4378475.082189418,5963356.772102028
105,2205367.82,105,881863.0156436977,974704.009044373
106,28543.18,106,11232.198806614942,4736.228240215554
107,629442.44,107,275833.57576454326,1326618.8863780543
108,1182205.22,108,475468.23307525733,641442.8390658787
109,73846578.95,109,29510359.154700816,31823093.800727352
110,4902596.15,110,1944995.7282156087,1497409.341049233
111,4932202.44,111,1975495.0768144203,2321022.961792377
112,321940.67,112,128698.26231101033,140701.04349613565
113,2845526.99,113,1156612.6529597405,2072845.0201706183
114,514735.47,114,205199.92381431247,200221.86441340865
115,614260.36,115,244636.02209675068,228527.10062640588
116,14592805.77,116,5848022.437808029,7004671.81811506
117,10618395526.9,117,4248318848.6107416,4794143012.8905
118,657516.02,118,261474.025946463,227721.57760933315
120,709294520.6,120,283789156.9754733,320554136.0656754
121,2566501.5,121,1015938.0708550103,685546.2378308304
130,59990608.57,130,23846797.72090282,20358469.111492347
131,1660609.12,131,663342.8275735036,704102.4940911982
140,3002691.34,140,1187126.0044039914,737954.3716713516
211,1158172.85,211,460725.4059446169,407869.57510804903
212,17510024.57,212,6926771.40935454,4482001.794604527
213,692129.68,213,278140.3061457053,365736.0863922556
214,81814275.35,214,32663214.77106312,33902672.603737704
215,1433603.4,215,573849.1074680794,659340.6615493903
221,15450628.48,221,6202028.046500535,7861026.677892776
222,3866811.58,222,1536027.4315660596,1266012.9944671295
224,11306480.41,224,4534075.940558244,5559179.852555525
225,5244100760.96,225,2093455735.0266666,2165316129.754871
226,6089181797.03,226,2431772772.76778,2555907117.8401127
227,44502308.34,227,17802327.68010305,19978654.04292452
228,64349596.31,228,25636956.433689594,24331896.653989416
229,334702444.11,229,130505703.65502605,3195317.0171573376
230,,230,697107.4494281732,30278988.00828735
231,,231,1914815.3434219926,83170350.38015756
232,,232,192918.26505722458,8379439.696188718
241,427707349.08,241,171097183.28712627,192045327.73245823
250,521287.47,250,207628.28548153138,194795.71366710583
251,17371.07,251,6773.251147355397,165.83707873668598
252,254586330.54,252,101595262.11176422,103551079.10212812
253,7021553.3,253,2804686.498512716,2971688.7392409244
254,10619150.09,254,4256246.176740242,5125695.824254198
255,461526777.26,255,184949973.56201825,221298964.37466517
256,14750,256,5912.277697865241,7134.861302125151
257,33045.88,257,13525.271971466942,28121.289190689353
258,908290.25,258,362396.07904737967,366557.25086124055
259,111042.31,259,44648.196357889785,59743.95939366148
261,3100421.65,261,1251468.9990019202,1878471.1213290982
263,162141793.15,263,63307426.59246461,5275200.452157107
264,3241857.61,264,1294860.828131251,1369186.1922761577
265,67636.11,265,27948.47005373653,69103.70905373462
266,618240.53,266,246831.48884080295,256517.21712629937
271,5794,271,2500.627198861825,10543.008516429189
272,95038.15,272,38938.596274438096,82640.9857928858
273,1226417.24,273,485166.31827877613,314325.82481525256
274,2602362.94,274,1037948.0475753646,1034544.6126394783
275,3029732.28,275,1206359.9931466545,1115677.4683550238
276,2108286.58,276,836130.7156090747,631559.6516746727
277,2629433.5,277,1043580.6665199923,820988.3917063671
279,1817973.54,279,724510.6960000154,697309.8424944363
290,2169968.88,290,870447.6612504876,1078056.4592710794
291,6974665.42,291,2785600.7113203267,2936342.1864893096
292,7194256.79,292,2857817.570704647,2356179.5046983818
293,1717525.88,293,692849.1660482323,1022313.6598242915
294,45936645.49,294,18342868.157378014,19178808.509330045
295,13869530.37,295,5534059.369354811,5610155.8485473655
296,5724040.19,296,2291759.7388086473,2654987.9171142383
311,162642.88,311,64411.13860058282,44733.48049888261
312,4379215.26,312,1729265.3074576491,986130.2076433245
313,1439594.09,313,569781.7980202691,381274.8804260483
314,192989.05,314,86400.50374666032,486190.84800256096
316,69997.93,316,27961.37830694752,29687.01693731965
317,1384892.04,317,551982.1629636182,534059.1867613498
318,271879.85,318,107291.46218138072,58247.66784748083
319,2331020.57,319,933591.6477855337,1094684.2506686917
320,114425.58,320,44738.357545914514,6393.181162938208
321,643813.66,321,254091.96858917925,139013.68473220267
322,10066049.53,322,4023198.1076183943,4365271.728714225
323,166201.92,323,65376.898450668275,26439.31608489402
324,6038136.13,324,2407578.259116258,2369038.9225690365
325,159297.07,325,63418.521999203615,58251.87783053802
328,19253,328,7933.256959211994,18696.39644390387
341,499006.5,341,199093.23369283398,201213.20761576926
342,2332110.18,342,933507.0917490493,1072568.2518878141
351,60980314.79,351,24317360.30496205,24045170.00588472
352,833679.52,352,330477.3278712319,243059.62313393853
353,2995588.02,353,1194091.9168286042,1160754.4370332442
354,620331166.57,354,248237317.6638169,282192470.0274194
355,7957320.98,355,3171895.5686947773,3082202.1989768716
371,303470.81,371,118498.10691238484,10285.678545145527
372,1589936.48,372,639252.4443766372,853973.3331238907
373,25452.62,373,10145.701393474112,9856.404460521739
374,574981.24,374,229703.82626219667,244802.80414585982
375,1397034.72,375,551924.656873097,326028.23275672464
376,103022.44,376,45216.990386745696,220198.02214201307
377,2951842.27,377,1182188.6047240295,1384194.6996835163
391,38918808.56,391,15531053.522005359,15834602.69234048
410,66116546.19,410,26450522.320185535,29760987.158863816
