ano_calendario,ocupacao,total_rendimentos,soma_de_total_rendimentos,rotulos_de_coluna
2023,0,14055528373.71,Rótulos de Linha,2023
2024,0,15468314230.29,0,14055528373.71
2023,10,9338433.63,10,9338433.63
2024,10,9587995.37,20,12758226.98
2023,20,12758226.98,30,5904522.86
2024,20,13441166.86,40,22216650.01
2023,30,5904522.86,50,17087685.93
2024,30,7259005.89,101,12952138.8
2023,40,22216650.01,102,37864261.36
2024,40,19358248.78,103,7396350.63
2023,50,17087685.93,104,23944200.92
2024,50,22642784.76,105,17519638.48
2023,101,12952138.8,106,1152421.92
2024,101,13299949.28,107,5879819.6
2023,102,37864261.36,108,4143647.63
2024,102,46618051.69,109,135937346.3
2023,103,7396350.63,110,22328248.78
2024,103,6593270.43,111,14523504.11
2023,104,23944200.92,112,1606044.24
2024,104,31194993.1,113,16043912.4
2023,105,17519638.48,114,2168334.78
2024,105,18129014.58,115,2072661.93
2023,106,1152421.92,116,40706113.11
2024,106,884371.6,117,18661559646.31
2023,107,5879819.6,118,7931146.96
2024,107,10551341.54,120,6115530163.93
2023,108,4143647.63,121,20239641.87
2024,108,8565040.66,130,572263498.76
2023,109,135937346.3,131,13916910.4
2024,109,150888341.96,140,26175866.52
2023,110,22328248.78,211,7390522.05
2024,110,23298295,212,110382991.68
2023,111,14523504.11,213,10471793.24
2024,111,15901258.29,214,643576956.48
2023,112,1606044.24,215,5105783.21
2024,112,1114477.18,221,55642636.11
2023,113,16043912.4,222,33643635.4
2024,113,22240725.96,224,200712790.08
2023,114,2168334.78,225,3725110398.42
2024,114,3343502.45,226,9874060342.68
2023,115,2072661.93,227,258780020.31
2024,115,2172993.42,228,222993504.84
2023,116,40706113.11,229,1988559826.47
2024,116,46503561.3,230,
2023,117,18661559646.31,231,
2024,117,21551212463.76,232,
2023,118,7931146.96,241,1943594594.02
2024,118,9769247.68,250,2068651.15
2023,120,6115530163.93,251,696438.81
2024,120,6682701354.67,252,457182165.08
2023,121,20239641.87,253,62139216.95
2024,121,24816822.5,254,68904433.8
2023,130,572263498.76,255,2551790055.87
2024,130,591554560.12,256,844681.17
2023,131,13916910.4,257,786425.88
2024,131,10141049.35,258,7745979.07
2023,140,26175866.52,259,677635.42
2024,140,24186204.64,261,22257654.23
2023,211,7390522.05,263,89765448.85
2024,211,6886420.01,264,17385533.34
2023,212,110382991.68,265,1477490.09
2024,212,108510344.75,266,4623374.1
2023,213,10471793.24,271,2217556.64
2024,213,10274371.87,272,6234406.87
2023,214,643576956.48,273,14991848.22
2024,214,663812279.41,274,30694305.52
2023,215,5105783.21,275,39436935.95
2024,215,5678507.64,276,7599089.6
2023,221,55642636.11,277,17159200.41
2024,221,67898923.44,279,24282928.59
2023,222,33643635.4,290,39862660.39
2024,222,35797549.71,291,59477446.22
2023,224,200712790.08,292,43797264.19
2024,224,225380214.45,293,17297598.22
2023,225,3725110398.42,294,127216286.97
2024,225,3801009501.96,295,126650239.38
2023,226,9874060342.68,296,49090403.71
2024,226,10291488835.26,311,2311622.99
2023,227,258780020.31,312,34183643.73
2024,227,297984511.54,313,17712122.35
2023,228,222993504.84,314,4923434.39
2024,228,223741648.63,316,1236817.01
2023,229,1988559826.47,317,36089469.68
2024,230,335954469.07,318,5716513.71
2024,231,1369098913.96,319,23637950.5
2024,232,105550389,320,608342.33
2023,241,1943594594.02,321,6104697.59
2024,241,2201730867.43,322,70226508.6
2023,250,2068651.15,323,2167542.63
2024,250,1394623.29,324,21910886.8
2023,251,696438.81,325,1113282.58
2024,251,576984.87,328,195854.12
2023,252,457182165.08,341,1829513.22
2024,252,474876000.36,342,18381455.44
2023,253,62139216.95,351,103984578.46
2024,253,75003518.91,352,6132119.93
2023,254,68904433.8,353,7844442.64
2024,254,75400950.71,354,909370232.72
2023,255,2551790055.87,355,58401543.37
2024,255,2996133510.98,371,3356340.79
2023,256,844681.17,372,22245254.6
2024,256,1057799.1,373,1217773.23
2023,257,786425.88,374,5969222.56
2024,257,667704.82,375,5928161.79
2023,258,7745979.07,376,11167747.96
2024,258,9405280.83,377,14784569.49
2023,259,677635.42,391,248689481.38
2024,259,771109.12,410,400086512.83
2023,261,22257654.23,420,168914202.14
2024,261,24097620.05,511,24466725.46
2023,263,89765448.85,512,91475285.14
2024,263,92134876.27,513,80229772.74
2023,264,17385533.34,514,45213566.05
2024,264,20334640.38,515,152086239.32
2023,265,1477490.09,516,450570342.7
2024,265,1935511.02,517,26538071.62
2023,266,4623374.1,518,983208093.92
2024,266,5073376.71,519,1423175556.39
2023,271,2217556.64,529,2535769563.9
2024,271,1971477.29,610,363135412.8
2023,272,6234406.87,620,94463915.19
2024,272,5634358.56,630,12565746.27
2023,273,14991848.22,640,21458972
2024,273,13754625.52,710,105948055.89
2023,274,30694305.52,720,21918287.26
2024,274,32467815.79,730,6713360.82
2023,275,39436935.95,740,1044279.88
2024,275,44852642.03,750,6560439.09
2023,276,7599089.6,760,55085948.72
2024,276,6887154.17,770,25862164.45
2023,277,17159200.41,780,25786898.55
2024,277,17683467.4,810,11251710.06
2023,279,24282928.59,820,6019763.19
2024,279,23344067.01,830,1659114.89
2023,290,39862660.39,840,19730130.87
2024,290,42935523.46,860,4019159.11
2023,291,59477446.22,870,4640733.12
2024,291,63070843.36,900,336603038.24
2023,292,43797264.19,,3389853511.49
2024,292,43625567.03,Total Geral,75404564263.23
2023,293,17297598.22,,
2024,293,17904564.4,,
2023,294,127216286.97,,
2024,294,131781992.93,,
2023,295,126650239.38,,
2024,295,133359031.66,,
2023,296,49090403.71,,
2024,296,53451643.22,,
2023,311,2311622.99,,
2024,311,2938999.77,,
2023,312,34183643.73,,
2024,312,37061481.11,,
2023,313,17712122.35,,
2024,313,19243579.56,,
2023,314,4923434.39,,
2024,314,6776608.44,,
2023,316,1236817.01,,
2024,316,949554.1,,
2023,317,36089469.68,,
2024,317,39208288.01,,
2023,318,5716513.71,,
2024,318,5860498.01,,
2023,319,23637950.5,,
2024,319,26426348.9,,
2023,320,608342.33,,
2024,320,254220.25,,
2023,321,6104697.59,,
2024,321,5390125.26,,
2023,322,70226508.6,,
2024,322,72496829.7,,
2023,323,2167542.63,,
2024,323,2338171.07,,
2023,324,21910886.8,,
2024,324,21820272.12,,
2023,325,1113282.58,,
2024,325,1062183.55,,
2023,328,195854.12,,
2024,328,272181.3,,
2023,341,1829513.22,,
2024,341,1623489.18,,
2023,342,18381455.44,,
2024,342,22422912.3,,
2023,351,103984578.46,,
2024,351,105690152.91,,
2023,352,6132119.93,,
2024,352,7190754.47,,
2023,353,7844442.64,,
2024,353,7720121.67,,
2023,354,909370232.72,,
2024,354,1041777038.9,,
2023,355,58401543.37,,
2024,355,71495073.39,,
2023,371,3356340.79,,
2024,371,2727179.96,,
2023,372,22245254.6,,
2024,372,26183682.27,,
2023,373,1217773.23,,
2024,373,1626223.29,,
2023,374,5969222.56,,
2024,374,5251122.91,,
2023,375,5928161.79,,
2024,375,5086518.17,,
2023,376,11167747.96,,
2024,376,7400829.99,,
2023,377,14784569.49,,
2024,377,17385570.74,,
2023,391,248689481.38,,
2024,391,261255758.5,,
2023,410,400086512.83,,
2024,410,447611800.25,,
2023,420,168914202.14,,
2024,420,174448224.81,,
2023,511,24466725.46,,
2024,511,26505539.28,,
2023,512,91475285.14,,
2024,512,99078772.05,,
2023,513,80229772.74,,
2024,513,84833594.7,,
2023,514,45213566.05,,
2024,514,52561921.78,,
2023,515,152086239.32,,
2024,515,163082494.49,,
2023,516,450570342.7,,
2024,516,452034352.21,,
2023,517,26538071.62,,
2024,517,30350282.09,,
2023,518,983208093.92,,
2024,518,1004823273.19,,
2023,519,1423175556.39,,
2024,519,1578442346.16,,
2023,529,2535769563.9,,
2024,529,2532141584.45,,
2023,610,363135412.8,,
2024,610,400813092.47,,
2023,620,94463915.19,,
2024,620,138457787.09,,
2023,630,12565746.27,,
2024,630,14335453.88,,
2023,640,21458972,,
2024,640,24282234.78,,
2023,710,105948055.89,,
2024,710,101074722.06,,
2023,720,21918287.26,,
