ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao,ncm,tributos_nfe,valor_nfe
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raga Pura",-,0,01011010,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raga Pura",Animais vivos,1,01011010,0,185397.04
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Reprodutores De Raga Pura Exc.Cavalos",-,0,01011090,22797.60999999999,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Reprodutores De Raga Pura Exc.Cavalos",Animais vivos,1,01011090,22797.60999999999,944143.9899999999
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raca Pura",-,0,01011100,11.11,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raca Pura",Animais vivos,1,01011100,11.11,31575.76
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos",-,0,01011900,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos",Animais vivos,1,01011900,0,12220.3
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Asininos E Muares",-,0,01012000,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Asininos E Muares",Animais vivos,1,01012000,0,783
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Reprodutores de raça pura",-,0,01012100,290770.74,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Reprodutores de raça pura",Animais vivos,1,01012100,290770.74,25528992.84
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Outros",-,0,01012900,1301070.3,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Outros",Animais vivos,1,01012900,1301070.3,329745646.6099999
Alíquota de Referência - Demais Produtos,GERAL,-,-,01013000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Asininos",-,0,01013000,60332.16,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01013000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Asininos",Animais vivos,1,01013000,60332.16,4585513.860000001
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Outros",-,0,01019000,848267.9433,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Outros",Animais vivos,1,01019000,848267.9433,41510314.52999999
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos Exceto D/Raga Pura",-,0,01019010,124,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos Exceto D/Raga Pura",Animais vivos,1,01019010,124,863
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outs.Animais Especie Cavalar Asinina Muar",-,0,01019090,302.78,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outs.Animais Especie Cavalar Asinina Muar",Animais vivos,1,01019090,302.78,13371.33
Alíquota de Referência - Demais Produtos,GERAL,-,-,01021010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Bovinos De Raca Pura Prenhe Ou C/Cria Ao Pe,-,0,01021010,5.109999999999999,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01021010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Bovinos De Raca Pura Prenhe Ou C/Cria Ao Pe,Animais vivos,0.5,01021010,5.109999999999999,965166.78
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01021010,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Bovinos De Raca Pura Prenhe Ou C/Cria Ao Pe,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01021010,5.109999999999999,965166.78
Alíquota de Referência - Demais Produtos,GERAL,-,-,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,-,0,01021090,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01021090,0,86261.975
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01021090,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros Bovinos Reprodutores De Raca Pura,Animais vivos,0.5,01021090,0,86261.975
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,01022110,477493.28,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022110,477493.28,246557298.3200001
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022110,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01022110,477493.28,246557298.3200001
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01022190,15571761.0107,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022190,15571761.0107,4497321661.434999
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022190,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,Animais vivos,0.5,01022190,15571761.0107,4497321661.434999
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,-,0,01022911,2060462.42,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022911,2060462.42,954146323.8049996
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01022911,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Prenhes ou com cria ao pé,Animais vivos,0.5,01022911,2060462.42,954146323.8049996
Alíquota de Referência - Demais Produtos,GERAL,-,-,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,-,0,01022919,7339691.480000001,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,15,01022919,Animais vivos e produtos do reino animal - Animais vivos. - Animais vivos da espécie bovina. - Outros,"Reprodutores de raça pura, inclusive matrizes de animais puros de origem com registro genealógico; em conformidade com as definições e demais requisitos da legislação específica",0.5,01022919,7339691.480000001,2559323807.61
