ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011010,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011090,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011100,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011900,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012000,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012100,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012900,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01013000,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019000,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019010,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019090,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01059200,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01059300,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01059400,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01059900,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01060000,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01060010,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01060090,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01061100,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01061200,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01061300,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01061400,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01061900,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01062000,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063100,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063200,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063310,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063390,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063900,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063910,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01063990,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01064100,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01064900,Animais vivos,1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02050000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02074300,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02075300,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02081000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02082000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02083000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02084000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02085000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02086000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02089000,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02090011,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02090019,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02090021,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02090029,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,2,02090090,"Carnes e miudezas, comestíveis",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03011000,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03011010,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03011090,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03011110,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03011190,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03011900,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019110,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019190,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019210,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019290,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019310,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019390,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019410,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019490,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019510,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019590,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019910,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019911,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019912,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019919,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019990,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019991,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019992,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03019999,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,3,03021100,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",1
