produto_interno_bruto_1,1199092_111000002,1315755_47899999,1488787_2559999959,1717950_4089999902,1957751_2169999941,2170584_5149999997,2409449_882999989,2720262_966000002,3109803_093000006,3333039_3110000165,3885847_0,4376382_0,4814760_0,5331619_0,5778953_0,5995787_0,6269328_0,6585479_0,7004141_0,7389131_0,7609597_0,9012142_0
Valor adicionado bruto ,1031326.4260000018,1120421.88099999,1270214.646999996,1470717.2569999902,1661982.115999994,1842818.4139999996,2049289.9449999891,2319528.296000002,2626477.712000006,2849762.7940000165,3302840.0,3720461.0,4094259.0,4553760.0,4972734.0,5155601.0,5419822.0,5671926.0,6011150.0,6356684.0,6594937.0,7713999.0
   Empresas não financeiras,494237.92000000295,541906.4870000038,610666.3839999991,744166.8799999971,883952.5729999915,973458.2349999927,1096789.4900000214,1242342.2520000145,1435594.1999999979,1551806.9020000063,1836976.0,2102992.0,2301347.0,2530103.0,2755684.0,2777949.0,2853045.0,2992762.0,3218885.0,3400640.0,3581664.0,4512117.0
   Empresas financeiras,69560.56399999998,78939.55800000002,99597.935,108335.90900000003,107035.827,130099.72100000002,145943.473,168569.86899999998,169327.144,186083.486,222761.0,237620.0,258358.0,270196.0,316339.0,362977.0,423501.0,427199.0,419897.0,457437.0,451173.0,443669.0
   Governo geral,161836.83800000002,184195.99099999995,209388.68400000007,235655.84199999995,259678.61899999983,295129.90599999996,333619.7860000002,377110.174,434222.689,487178.80600000004,537845.0,598059.0,652101.0,746187.0,816808.0,885587.0,945121.0,1000975.0,1045385.0,1106091.0,1146900.0,1218956.0
   Famílias,291381.725,300183.54999999993,334861.525,365331.14399999985,392109.7749999999,421033.6469999998,446448.9360000002,504786.83199999924,557663.3879999997,591455.2510000004,669111.0,741634.0,837725.0,957897.0,1032013.0,1074849.0,1142223.0,1192582.0,1264920.0,1327538.0,1351100.0,1472568.0
   Instituições sem fins de lucro a serviço das famílias,14309.379000000008,15196.294999999947,15700.11900000002,17227.482000000018,19205.321999999964,23096.90499999997,26488.2599999999,26719.169000000045,29670.29099999999,33238.349,36147.0,40156.0,44728.0,49377.0,51890.0,54239.0,55932.0,58408.0,62063.0,64978.0,64100.0,66689.0
Remuneração dos empregados,469949.2270000001,520500.9380000001,579309.6810000001,661552.0320000001,750180.1119999998,851698.0630000001,963283.2769999999,1094553.69,1261043.725,1413173.186,1618190.0,1846781.0,2058854.0,2305713.0,2515369.0,2672020.0,2802436.0,2920537.0,3055773.0,3217680.0,3192343.0,3534648.0
   Empresas não financeiras,249976.28100000002,274694.4340000001,304879.1870000001,357366.7430000001,413063.2559999999,466294.3430000001,527019.321,604014.6070000001,703462.593,789265.555,922732.0,1075904.0,1216947.0,1351583.0,1480692.0,1559842.0,1614413.0,1665988.0,1746812.0,1839784.0,1798221.0,2055730.0
   Empresas financeiras,37508.162000000004,39904.598,41064.784,43920.429,47528.740000000005,53020.995,59689.918,66598.09899999999,73271.892,78177.25700000001,90121.0,98031.0,110298.0,119530.0,128369.0,143104.0,156672.0,162621.0,165090.0,179652.0,181149.0,200975.0
   Governo geral,142192.502,162611.252,185592.715,207752.068,228704.23599999998,261357.85499999998,297899.338,339490.46,391998.686,441006.137,487166.0,541126.0,589064.0,675979.0,738605.0,797857.0,847005.0,897677.0,938493.0,990240.0,1028949.0,1076913.0
