codigo_ncm,nome_ncm,codigo_produto,descricao_produto
01011010,Cavalos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01011090,"Animais da espécie asinina/muar, reprodutores, raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01011100,"Cavalos reprodutores, de raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01011900,"Outros cavalos, vivos",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01012000,Asininos e muares vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01012100,Cavalos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01012900,"Cavalos, exceto reprodutores de raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01013000,"Animais espécie asinina/muar, reprodutores de raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01019000,"Animais espécie asinina/muar, exceto reprodutores de raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01019010,"Cavalos vivos, exceto reprodutores raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01019090,"Animais espécie asinina/muar, exceto reprodutores de raça pura pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01021010,"Bovinos reprodutores de raça pura, prenhe ou cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01021090,Outros bovinos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01022110,"Bovinos reprodutores raça pura, prenhe ou com cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01022190,Outros bovinos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01022911,"Outros bovinos para reprodução, prenhe ou com cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01022919,Outros bovinos para reprodução,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01022990,Outros bovinos vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01023110,"Búfalos reprodutores de raça pura, prenhe ou com cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01023190,Outros búfalos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01023911,"Outros búfalos para reprodução, exceto raça pura, prenhe ou com cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01023919,"Outros búfalos para reprodução, exceto reprodutores de raça pura",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01023990,Outros búfalos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01029000,Outros animais vivos da espécie bovina,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01029011,"Outros bovinos para reprodução, prenhe ou com cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01029019,Outros bovinos para reprodução,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01029090,Outros bovinos vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01031000,Suínos reprodutores de raça pura,01923,Suínos
01039100,"Outros suínos vivos, de peso inferior a 50 kg",01923,Suínos
01039200,"Outros suínos vivos, de peso igual ou superior a 50kg",01923,Suínos
01041011,"Ovinos reprodutores de raça pura, prenhe/com cria ao pé",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01041019,Outros ovinos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01041090,Outros ovinos vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01042010,Caprinos reprodutores de raça pura,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01042090,Outros caprinos vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01051110,"Galos e galinhas, peso <= 185 g, de linha pura/híbrida, para reprodução",01924,Aves e ovos
01051190,"Outros galos e galinhas, vivos, peso não superior a 185g",01924,Aves e ovos
01051200,"Peruas e perus, vivos, de peso não superior a 185g",01924,Aves e ovos
01051300,Patos,01924,Aves e ovos
01051400,Gansos,01924,Aves e ovos
01051500,Galinhas-d'angola (pintadas),01924,Aves e ovos
01051900,"Patos, gansos e galinhas d'angola, vivos, de peso <= 185g",01924,Aves e ovos
01059200,"Outros galos e galinhas, vivos, de peso <= 2.000 g",01924,Aves e ovos
01059300,"Galos e galinhas, vivos, de peso superior a 2.000 g",01924,Aves e ovos
01059400,"Outros galos e galinhas, vivos, de peso <= 2.000 g",01924,Aves e ovos
01059900,"Patos, gansos, perus, peruas e pintadas, vivos, de peso >185 g",01924,Aves e ovos
01060000,Outros animais vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01060090,Outros animais vivos,01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
01061100,"Mamíferos primatas, vivos",01921,"Bovinos e outros animais vivos, prods. animal, caça e serv."
