0191_agricultura_inclusive_o_apoio_a_agricultura_e_a_pos_colheita,0192_pecuaria_inclusive_o_apoio_a_pecuaria,0280_producao_florestal_pesca_e_aquicultura,0580_extracao_de_carvao_mineral_e_de_minerais_nao_metalicos,0680_extracao_de_petroleo_e_gas_inclusive_as_atividades_de_apoio,0791_extracao_de_minerio_de_ferro_inclusive_beneficiamentos_e_a_aglomeracao,0792_extracao_de_minerais_metalicos_nao_ferrosos_inclusive_beneficiamentos,1091_abate_e_produtos_de_carne_inclusive_os_produtos_do_laticinio_e_da_pesca,1092_fabricacao_e_refino_de_acucar,1093_outros_produtos_alimentares,1100_fabricacao_de_bebidas,1200_fabricacao_de_produtos_do_fumo,1300_fabricacao_de_produtos_texteis,1400_confeccao_de_artefatos_do_vestuario_e_acessorios,1500_fabricacao_de_calcados_e_de_artefatos_de_couro,1600_fabricacao_de_produtos_da_madeira,1700_fabricacao_de_celulose_papel_e_produtos_de_papel,1800_impressao_e_reproducao_de_gravacoes,1991_refino_de_petroleo_e_coquerias,1992_fabricacao_de_biocombustiveis,2091_fabricacao_de_quimicos_organicos_e_inorganicos_resinas_e_elastomeros,2092_fabricacao_de_defensivos_desinfestantes_tintas_e_quimicos_diversos,2093_fabricacao_de_produtos_de_limpeza_cosmeticos_perfumaria_e_higiene_pessoal,2100_fabricacao_de_produtos_farmoquimicos_e_farmaceuticos,2200_fabricacao_de_produtos_de_borracha_e_de_material_plastico,2300_fabricacao_de_produtos_de_minerais_nao_metalicos,2491_producao_de_ferro_gusa_ferroligas_siderurgia_e_tubos_de_aco_sem_costura,2492_metalurgia_de_metais_nao_ferrosos_e_a_fundicao_de_metais,2500_fabricacao_de_produtos_de_metal_exceto_maquinas_e_equipamentos,2600_fabricacao_de_equipamentos_de_informatica_produtos_eletronicos_e_opticos,2700_fabricacao_de_maquinas_e_equipamentos_eletricos,2800_fabricacao_de_maquinas_e_equipamentos_mecanicos,2991_fabricacao_de_automoveis_caminhoes_e_onibus_exceto_pecas,2992_fabricacao_de_pecas_e_acessorios_para_veiculos_automotores,3000_fabricacao_de_outros_equipamentos_de_transporte_exceto_veiculos_automotores,3180_fabricacao_de_moveis_e_de_produtos_de_industrias_diversas,3300_manutencao_reparacao_e_instalacao_de_maquinas_e_equipamentos,3500_energia_eletrica_gas_natural_e_outras_utilidades,3680_agua_esgoto_e_gestao_de_residuos,4180_construcao,4500_comercio_e_reparacao_de_veiculos_automotores_e_motocicletas,4680_comercio_por_atacado_e_a_varejo_exceto_veiculos_automotores,4900_transporte_terrestre,5000_transporte_aquaviario,5100_transporte_aereo,5280_armazenamento_atividades_auxiliares_dos_transportes_e_correio,5500_alojamento,5600_alimentacao,5800_edicao_e_edicao_integrada_a_impressao,5980_atividades_de_televisao_radio_cinema_e_gravacao_edicao_de_som_e_imagem,6100_telecomunicacoes,6280_desenvolvimento_de_sistemas_e_outros_servicos_de_informacao,6480_intermediacao_financeira_seguros_e_previdencia_complementar,6800_atividades_imobiliarias,6980_atividades_juridicas_contabeis_consultoria_e_sedes_de_empresas,7180_servicos_de_arquitetura_engenharia_testes_analises_tecnicas_e_p_d,7380_outras_atividades_profissionais_cientificas_e_tecnicas,7700_alugueis_nao_imobiliarios_e_gestao_de_ativos_de_propriedade_intelectual,7880_outras_atividades_administrativas_e_servicos_complementares,8000_atividades_de_vigilancia_seguranca_e_investigacao,8400_administracao_publica_defesa_e_seguridade_social,8591_educacao_publica,8592_educacao_privada,8691_saude_publica,8692_saude_privada,9080_atividades_artisticas_criativas_e_de_espetaculos,9480_organizacoes_associativas_e_outros_servicos_pessoais,9700_servicos_domesticos,adm_publica,total_do_produto
810,616,1,0,0,0,0,103,0,30748,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,216,34886
4154,13921,45,0,0,0,0,3009,0,38536,0,0,0,0,0,0,0,0,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,284,2,0,2,7,0,0,0,288,63321
1157,51,0,0,0,0,0,0,0,1849,0,0,12975,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000
1270,334,5,0,0,0,0,0,43018,0,3465,0,0,0,0,0,0,0,0,30879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80647
5730,475,4,0,0,0,0,1267,0,88515,0,0,0,0,0,0,0,0,0,6892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122548
8835,1349,81,0,0,0,0,54,0,10512,0,8057,0,0,0,0,0,0,0,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,0,785,0,0,0,0,384,3948,0,0,0,0,0,0,7,0,0,0,249,0,1023,508,108,658,313,1,595,0,2189,38819
20,20,8,0,0,0,0,0,0,15241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,565,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,10,0,0,8,0,38,16042
64,232,1,0,0,0,0,0,0,8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,14,0,6,9292
316,34,1,0,0,0,0,1,0,4765,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,34,875,0,0,0,0,0,0,0,2,0,0,0,0,264,120,3,130,29,0,3,0,514,6837
960,5137,22,0,0,0,0,104582,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,236,75,5,0,119,0,0,0,311,111201
130,2955,87,0,0,0,0,36941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,40253
83,536,3,0,0,0,0,17044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17666
