remuneracao,nao,aluguel,sim
Emolumentos,Não,Água,Sim
Impostos,Não,Energia,Sim
Taxas,Não,Gás,Sim
Contribuições,Não,Documentos,Sim
Pensão,Não,Telefone,Sim
Previdência,Não,Material,Sim
INSS,Não,Aquisição,Sim
Salário,Não,Arrendamento,Sim
IRRF,Não,Combustível,Sim
IPTU,Não,Conservação,Sim
Capital,Não,Depreciação,Sim
Carnê,Não,Locomoção,Sim
Juros,Não,Transporte,Sim
Multa,Não,Estacionamento,Sim
Residencial,Não,Manutenção,Sim
Enciclopédia,Não,Seguro,Sim
Condomínio,Não,Insumos,Sim
Funcionário,Não,Serviço de Terceiros,Sim
"Remuneração paga a terceiros, com vínculo empregatício",Não,Vale,Sim
Empregado,Não,Auxílio,Sim
FGTS,Não,Alimentação,Sim
Colaborador,Não,Plano de Saúde,Sim
ISS,Não,"Remuneração paga a terceiros, sem vínculo empregatício",Sim
Com vínculo empregatício,Não,Produtos utilizados na atividade,
