ano_calendario,conteudo_codigo,conteudo_descricao,valor_total,total,acum,gera_credito
2024,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS",2183581468.32,9.883504121249114,9.883504121249114,N
2023,10.01.00013,"Remuneração paga a terceiros, com vínculo empregatício, INSS e FGTS",1913595191.31,8.661470265300492,18.544974386549605,N
2024,10.01.00006,Emolumentos pagos a terceiros,1027730618.83,4.651797954007747,23.196772340557352,N
2024,10.01.00002,Aluguel do escritório/consultório,998447509.25,4.519254360642488,27.71602670119984,S
2023,10.01.00006,Emolumentos pagos a terceiros,941208924.26,4.260176419722618,31.97620312092246,N
2023,10.01.00002,Aluguel do escritório/consultório,907742295.27,4.108697040388324,36.084900161310784,S
2024,10.01.00012,Material de escritório,665317631.84,3.011414802530596,39.09631496384138,S
2023,10.01.00012,Material de escritório,628242927.79,2.8436042602684886,41.93991922410987,S
2024,10.01.00003,Condomínio do escritório/consultório,293514242.42,1.3285280474720775,43.26844727158195,N
2024,10.01.00011,Material de conservação e limpeza do escritório/consultório,278520418.09,1.2606617797331157,44.52910905131506,S
2023,10.01.00003,Condomínio do escritório/consultório,266716684.81,1.207234761684294,45.73634381299935,N
2023,10.01.00011,Material de conservação e limpeza do escritório/consultório,259054382.81,1.1725530268857656,46.90889683988512,S
2024,10.01.00004,Contribuições obrigatórias a entidades de classe,225805720.49,1.0220602260293048,47.93095706591442,N
2023,10.01.00004,Contribuições obrigatórias a entidades de classe,202176415.35,0.9151073423738468,48.846064408288264,N
2024,10.01.00007,Energia do escritório/consultório,157202578.82,0.7115431039235971,49.55760751221186,S
2024,10.01.00010,ISS,139860442.75,0.6330477165035069,50.190655228715364,N
2023,10.01.00010,ISS,137294478.72,0.6214334413168825,50.812088670032246,N
2023,10.01.00007,Energia do escritório/consultório,136590811.63,0.6182484460763096,51.430337116108554,S
2024,10.01.00001,Água do escritório/consultório,121731517.53,0.5509911000111797,51.981328216119735,S
2024,10.01.00015,Diversos,103813503.23,0.46988912568690516,52.45121734180664,N
2024,10.01.00014,Telefone do escritório/consultório,97862978.79,0.44295537776881977,52.89417271957546,S
2023,10.01.00001,Água do escritório/consultório,93890082.45,0.4249729310777439,53.319145650653205,S
2023,10.01.00015,Diversos,93049138.99,0.42116658436101606,53.74031223501422,N
2023,10.01.00014,Telefone do escritório/consultório,92512454.27,0.41873739831099316,54.15904963332522,S
2023,10.01.00001,DESPESAS DEDUTIVEIS,69487599.42,0.31452042674261743,54.473570060067836,N
2024,10.01.00016,Serviço de Terceiros PF / PJ sem vínculo empregatício,64047826.2,0.2898984825566304,54.763468542624466,S
2024,10.01.00009,IPTU do escritório/consultório quando pago pelo contribuinte,59929445.98,0.27125753488978765,55.03472607751425,N
2024,10.01.00005,Cópia e autenticação de documentos,56774882.91,0.2569790948336568,55.2917051723479,S
2023,10.01.00009,IPTU do escritório/consultório quando pago pelo contribuinte,54257071.79,0.24558277326650566,55.53728794561441,N
2023,10.01.00003,Custos Direto Realiz. Leilão,52854304.45,0.23923345358817438,55.776521399202586,S
2023,10.01.00016,Serviço de Terceiros PF / PJ sem vínculo empregatício,50781913.21,0.2298532277259631,56.00637462692855,S
2023,10.01.00005,Cópia e autenticação de documentos,49284513.51,0.2230755753595077,56.22945020228806,S
2024,10.01.00003,Custos Direto Realiz. Leilão,42172952.25,0.19088664811247308,56.42033685040053,S
2024,10.01.00015,Material Odontológico,33888385.02,0.15338836579582224,56.57372521619635,S
2023,10.01.00015,Material Odontológico,32437387.76,0.1468207439290893,56.72054596012544,S
2024,10.01.00001,Despesas dedutiveis lançadas em livro caixa próprio,32222711.81,0.14584906017588797,56.86639502030133,N
2024,10.01.00001,TOTAL DE DESPESAS DEDUTÍVEIS DO MÊS,28107728.83,0.12722348937316863,56.993618509674505,N
2024,10.01.00020,Serviços prestados por PJ,25374629.44,0.1148527125202073,57.108471222194716,S
2024,10.01.00001,Total de despesas dedutiveis lançadas em livro caixa,25166244.5,0.11390950364837123,57.22238072584309,N
2024,10.01.00061,Fundesp e taxas judiciais,25067469.29,0.1134624192554709,57.33584314509856,N
2023,10.01.00001,TOTAL DE DESPESAS DEDUTÍVEIS DO MÊS,24035128.82,0.10878975581799114,57.44463290091655,N
2024,10.01.00015,Material Utilizado na Atividade Profissional,23784648.28,0.10765601041609076,57.552288911332646,S
2024,10.01.00016,Servs 3º PJ,23779253.46,0.10763159194282701,57.65992050327547,N
2023,10.01.00001,Total de Despesas Dedutíveis,23482795.19,0.10628973839816502,57.76621024167364,N
2023,10.01.00012,Material de escritório/consultório,20942188.78,0.09479023893454938,57.86100048060819,S
2023,10.01.00016,Servs 3º PJ,20650547.15,0.0934701868577883,57.954470667465976,N
2024,10.01.00015,Material de uso e consumo,19694307.56,0.08914197741573897,58.04361264488171,S
2023,10.01.00020,Serviços prestados por PJ,19635638.86,0.08887642637189153,58.1324890712536,S
2024,10.01.00012,Material de escritório/consultório,19084301.36,0.0863809177167271,58.218869988970326,S
2024,10.01.00015,DESPESAS DIVERSAS,18638451.72,0.08436287679710539,58.303232865767434,N
2024,10.01.00015,Remoção / Guincho,18587421.13,0.08413189798825754,58.38736476375569,N
2023,10.01.00015,Material Utilizado na Atividade Profissional,18386489.27,0.08322242385357909,58.47058718760927,S
2023,10.01.00015,Material de uso e consumo,18224272.64,0.08248818574320821,58.55307537335248,S
2023,10.01.00013,"Folha de Pagamento de Funcionários, INSS e FGTS",17816352.21,0.08064182310021116,58.633717196452686,N
2024,10.01.00015,Salários,17656659.49,0.07991900891665435,58.71363620536934,N
2024,10.01.00015,Pagamentos a PJ cf nota fiscal,17503417.57,0.07922539286896303,58.792861598238304,S
2024,10.01.00015,Outras despesas administrativas/gerais,17139587.46,0.07757859542000586,58.87044019365831,N
2024,10.01.00013,"Folha de Pagamento de Funcionários, INSS e FGTS",17048050.34,0.07716427265903128,58.947604466317344,N
2023,10.01.00015,Custos Operacionais,16965737.93,0.0767917035310789,59.02439616984842,S
2024,10.01.00015,Compras de Milhas,16384799.1,0.07416221092739045,59.09855838077581,N
2023,10.01.00015,Serviços Prestados,16208525.14,0.07336434538612016,59.17192272616193,N
