exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
1979,70,0,1409,0,12245,15703,50589,34886,216,48610,0.004443530137831722,0.006027638929726551,0.008639842014317452,0.0063703370272919085,0.040670974838443556,0.03976457077232271,0.036072802326672294,0.038836115979146185
22656,53,0,9779,0,30117,62605,125926,63321,288,103270,0.0027888060424130917,0.004918032786885246,0.008924377642085486,0.005543738823794608,0.13440323705111204,0.1520760380190095,0.16407415299382058,0.15018447602131405
18609,0,0,11,0,-830,17790,34790,17000,0,16181,0,0,0,0,0.0006466404091470226,0.0010102143899427545,0.0011100319134175107,0.0009222955708357627
3,0,0,2318,0,0,2321,82968,80647,0,82965,0,0,0,0,0.027939492557102392,0.027063940972995443,0.027154990075168396,0.02738614120175541
213948,0,0,309,0,9032,223289,345837,122548,0,131889,0,0,0,0,0.002515119203626981,0.0018100550404491892,0.0019114523770625714,0.0020788755403795805
3981,53,0,100772,0,-883,103923,142742,38819,2189,138761,0.015775325920107233,0.015167372437889449,0.016240244986664033,0.015727647781553573,0.7220145512875598,0.7372786677061817,0.7118582040097722,0.7237171410011712
5,0,0,4157,356,0,4518,20560,16042,38,20555,0.00184869861347604,0.0017547831993660137,0.001592942041416493,0.0017321412847528487,0.219557285332036,0.23519755462470282,0.21749785565494426,0.22408423187056103
31487,0,0,936,189,-1687,30925,40217,9292,6,8730,0.0006872852233676976,0.00048123195380173246,0.0006653359946773121,0.0006112843906155807,0.10799654411058845,0.12382009994447529,0.08116835461617496,0.10432833289041289
4124,8,0,48240,255,0,52627,59464,6837,514,55340,0.009288037585833032,0.009310036985078434,0.008813731840473767,0.009137268803795078,0.8764546440187929,0.8736130595587297,0.8684648838715647,0.8728441958163624
1972,0,0,1358,27970,-1012,30288,141489,111201,311,139517,0.0022291190320892795,0.0024564994882292734,0.0027008446277745042,0.002462154382697686,0.20869713724569305,0.2061807984735914,0.21354352851457306,0.20947382141128582
0,0,0,19981,0,0,19981,60234,40253,0,60234,0,0,0,0,0.3317229471726932,0.3450114543012876,0.3680245887184138,0.3482529967307982
23,0,0,449,82,0,554,18220,17666,0,18197,0,0,0,0,0.029180634170467658,0.029356179916845155,0.03375162267416703,0.030762812253826616
1737,3,0,18764,228,8,20740,61667,40927,240,59930,0.004004672117470382,0.004501537110232762,0.004385305467849447,0.004297171565184197,0.31699542738893893,0.3576369825409026,0.3559483276587222,0.3435269125295212
5591,0,0,13410,1990,-1156,19835,47264,27429,23,41673,0.0005519161087514698,0.0007402400952656818,0.0006805267276872299,0.0006575609772347938,0.3595694506058979,0.35090825828117844,0.37590329348296647,0.3621270007900143
1602,5,0,23478,0,0,25085,31583,6498,455,29981,0.015176278309596078,0.015133289356253153,0.01503430794108649,0.015114625202311908,0.7832627330642741,0.7943424779791238,0.7977798173156767,0.791795009453025
2,0,0,0,0,-399,-397,20227,20624,0,20225,0,0,0,0,0,0,0,0
3868,0,0,0,0,1585,5453,43397,37944,173,39529,0.004376533684130639,0.00484269370774831,0.005205320994794679,0.004808182795557877,0,0,0,0
165133,0,0,0,16433,-12672,168894,406473,237579,0,241340,0,0,0,0,0.06469379399398453,0.07166505583088281,0.04853506954720332,0.06163130645735689
239133,0,0,0,0,-7701,231432,309554,78122,0,70421,0,0,0,0,0,0,0,0
21903,0,0,0,0,-3347,18556,40273,21717,0,18370,0,0,0,0,0,0,0,0
58308,64,0,191200,0,2316,251888,311329,59441,5765,253021,0.022784670047150235,0.024348716131762576,0.024354982839384608,0.02382945633943247,0.7629046090026126,0.7822448049761296,0.7803633937104499,0.7751709358963974
