exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica,consumo_final_proxy_debitos_cbs,ajuste_variacao_de_estoques
1979,70,0,1409,0,12245,15703,50589,34886,216,48610,0.004443530137831722,0.2823287389426044,
22656,53,0,9779,0,30117,62605,125926,63321,288,103270,0.0027888060424130917,0.38684032148736325,
18609,0,0,11,0,-830,17790,34790,17000,0,16181,0,-0.050614918731845995,
3,0,0,2318,0,0,2321,82968,80647,0,82965,0,0.027939492557102392,
213948,0,0,309,0,9032,223289,345837,122548,0,131889,0,0.07082470865652177,
3981,53,0,100772,0,-883,103923,142742,38819,2189,138761,0.015775325920107233,0.7202456021504602,
5,0,0,4157,356,0,4518,20560,16042,38,20555,0.00184869861347604,0.219557285332036,
31487,0,0,936,189,-1687,30925,40217,9292,6,8730,0.0006872852233676976,-0.06437571592210767,
4124,8,0,48240,255,0,52627,59464,6837,514,55340,0.009288037585833032,0.8764546440187929,
1972,0,0,1358,27970,-1012,30288,141489,111201,311,139517,0.0022291190320892795,0.2029573456998072,
0,0,0,19981,0,0,19981,60234,40253,0,60234,0,0.3317229471726932,
23,0,0,449,82,0,554,18220,17666,0,18197,0,0.029180634170467658,
1737,3,0,18764,228,8,20740,61667,40927,240,59930,0.004004672117470382,0.3170866010345403,
5591,0,0,13410,1990,-1156,19835,47264,27429,23,41673,0.0005519161087514698,0.3418040457850407,
1602,5,0,23478,0,0,25085,31583,6498,455,29981,0.015176278309596078,0.7832627330642741,
2,0,0,0,0,-399,-397,20227,20624,0,20225,0,-0.01972805933250927,
3868,0,0,0,0,1585,5453,43397,37944,173,39529,0.004376533684130639,0.04009714386905816,
165133,0,0,0,16433,-12672,168894,406473,237579,0,241340,0,0.015583823651280351,
239133,0,0,0,0,-7701,231432,309554,78122,0,70421,0,-0.10935658397353062,
21903,0,0,0,0,-3347,18556,40273,21717,0,18370,0,-0.18219923788786063,
58308,64,0,191200,0,2316,251888,311329,59441,5765,253021,0.022784670047150235,0.7650748356855755,
13319,0,0,17042,0,-50,30311,44612,14301,132,31293,0.00421819576263062,0.5429968363531781,
43656,0,0,63252,0,-35,106873,123803,16930,1276,80147,0.01592074562990505,0.7887631477160717,
1721,0,0,12056,0,41,13818,15653,1835,283,13932,0.020312948607522252,0.868288831467126,
15,18,0,22370,0,25,22428,43208,20780,2392,43193,0.05537934387516496,0.5189035260343111,
588,9,0,105020,0,-176,105441,122690,17249,880,122102,0.007207089154968796,0.8587328626885719,
49456,0,0,11834,0,981,62271,83821,21550,504,34365,0.014666084679179398,0.3729084824676269,
15997,22,0,39656,0,-1679,53996,63043,9047,2024,47046,0.04302172341963185,0.8076988479360626,
52165,0,0,43840,0,579,96584,194253,97669,632,142088,0.004447947750689713,0.31261612521817467,
3076,5,0,25230,0,-727,27584,31989,4405,433,28913,0.014975962369868225,0.8476463874381766,
1548,16,0,40671,0,1145,43380,47980,4600,1451,46432,0.03125,0.9009303928325293,
2001,15,0,44122,0,4120,50258,94958,44700,364,92957,0.003915789020730015,0.5191325021246382,
2282,0,0,22500,0,2464,27246,92811,65565,212,90529,0.0023417910282892774,0.27575693976515814,
7496,45,0,228130,0,4578,240249,274261,34012,7144,266765,0.02678012482896932,0.8725020148820123,
4193,0,0,110046,0,1699,115938,189520,73582,568,185327,0.0030648529356219006,0.6029612522730093,
7758,0,0,41410,0,-81,49087,51078,1991,0,43320,0,0.9540397045244691,
441,0,0,117,0,2178,2736,25836,23100,0,25395,0,0.09037212049616067,
1638,0,0,2240,0,4536,8414,49414,41000,4,47776,8.372404554588077e-05,0.14182853315472205,
1740,0,0,57378,0,2341,61459,83664,22205,242,81924,0.0029539573263024266,0.7289561056589033,
2435,40,0,163690,0,-1467,164698,180698,16000,3047,178263,0.01709272255038903,0.9102449751210291,
13382,0,0,71520,0,-833,84069,96833,12764,38,83451,0.00045535703586535814,0.8470479682688045,
22992,0,0,4105,125,1940,29162,76026,46864,179,53034,0.0033751932722404497,0.11634046083644455,
36323,0,0,0,0,-2451,33872,49440,15568,0,13117,0,-0.1868567507814287,
10595,0,0,24191,0,-99,34687,158284,123597,3116,147689,0.021098389182674402,0.16312657002214112,
224,0,0,830,0,17,1071,39300,38229,2625,39076,0.06717678370355205,0.021675708875012797,
3091,0,0,945,0,383,4419,23582,19163,637,20491,0.03108681860328925,0.06480894051046801,
0,0,0,209837,0,0,209837,237737,27900,3193,237737,0.013430807993707333,0.8826434252977029,
621,0,0,0,0,1125,1746,36708,34962,0,36087,0,0.03117466123534791,
29521,0,0,0,0,882,30403,58615,28212,0,29094,0,0.030315528975046403,
0,0,0,9280,0,0,9280,249686,240406,878,249686,0.003516416619273808,0.037166681351777836,
7816,0,0,50709,0,-735,57790,414151,356361,1104,406335,0.0027169699878179334,0.12298719037247591,
5755,0,0,70785,0,-1335,75205,178587,103382,1899,172832,0.01098754860211072,0.40183530827624514,
4865,0,0,37,0,82,4984,183468,178484,834,178603,0.004669574419242678,0.0006662822013068089,
1178,0,0,0,0,116,1294,158309,157015,6,157131,3.8184699390954045e-05,0.0007382375215584449,
15428,0,0,0,0,3602,19030,165581,146551,344,150153,0.0022909965168861094,0.023988864691348158,
