ano_calendario,ocupacao,total_livro_caixa
2023,0,1016223417.2
2024,0,1078877184.79
2023,10,5608774.58
2024,10,5063443.48
2023,20,5463513.59
2024,20,5366345.58
2023,30,1734699.75
2024,30,1707927.24
2023,40,10409800.32
2024,40,9252978.44
2023,50,9611326.69
2024,50,11357724.37
2023,101,5772192.97
2024,101,4788204.95
2023,102,12757190.48
2024,102,26481878.18
2023,103,2463755.07
2024,103,1513686.43
2023,104,10883314.07
2024,104,15006064.94
2023,105,2205367.82
2024,105,2442296.93
2023,106,28543.18
2024,106,11431.62
2023,107,629442.44
2024,107,3382080.83
2023,108,1182205.22
2024,108,1613830.77
2023,109,73846578.95
2024,109,79693435.23
2023,110,4902596.15
2024,110,3714999.92
2023,111,4932202.44
2024,111,5823550.07
2023,112,321940.67
2024,112,352464.1
2023,113,2845526.99
2024,113,5238984.04
2023,114,514735.47
2024,114,500183.21
2023,115,614260.36
2024,115,570239.6
2023,116,14592805.77
2024,116,17582178.08
2023,117,10618395526.9
2024,117,12018186232.91
2023,118,657516.02
2024,118,567119.09
2023,120,709294520.6
2024,120,803597275.18
2023,121,2566501.5
2024,121,1692934.62
2023,130,59990608.57
2024,130,50671305.43
2023,131,1660609.12
2024,131,1762605.52
2023,140,3002691.34
2024,140,1816487.33
2023,211,1158172.85
2024,211,1016237.35
2023,212,17510024.57
2024,212,11050297.98
2023,213,692129.68
2024,213,919727.89
2023,214,81814275.35
2024,214,84824431.57
2023,215,1433603.4
2024,215,1653520.6
2023,221,15450628.48
2024,221,19754329.3
2023,222,3866811.58
2024,222,3147718.11
2023,224,11306480.41
2024,224,13960622.01
2023,225,5244100760.96
2024,225,5417159301.85
2023,226,6089181797.03
2024,226,6396801043.13
2023,227,44502308.34
2024,227,50077275.72
2023,228,64349596.31
2024,228,60740677.3
2023,229,334702444.11
2024,230,77544470.54
2024,231,212999218.57
2024,232,21459740.15
2023,241,427707349.08
2024,241,481370871.77
2023,250,521287.47
2024,250,486126.65
2023,251,17371.07
2024,251,0
2023,252,254586330.54
2024,252,258969822.28
2023,253,7021553.3
2024,253,7438821.8
2023,254,10619150.09
2024,254,12867274.34
2023,255,461526777.26
2024,255,555462560.3
2023,256,14750
2024,256,17911.75
2023,257,33045.88
2024,257,71210.66
2023,258,908290.25
2024,258,916545.94
2023,259,111042.31
2024,259,150289.35
2023,261,3100421.65
2024,261,4734960.63
2023,263,162141793.15
2024,263,9545549.1
2023,264,3241857.61
2024,264,3427224.23
2023,265,67636.11
2024,265,175320.91
2023,266,618240.53
2024,266,641824.96
2023,271,5794
2024,271,26858.98
2023,272,95038.15
2024,272,209319.91
2023,273,1226417.24
2024,273,775003.34
2023,274,2602362.94
2024,274,2585842.47
2023,275,3029732.28
2024,275,2783174.83
2023,276,2108286.58
2024,276,1565877.99
2023,277,2629433.5
2024,277,2038263.26
2023,279,1817973.54
2024,279,1741362.11
2023,290,2169968.88
2024,290,2707847.97
2023,291,6974665.42
2024,291,7349445.67
2023,292,7194256.79
2024,292,5858280.55
2023,293,1717525.88
2024,293,2576152.56
2023,294,45936645.49
2024,294,47993803.39
2023,295,13869530.37
2024,295,14028507
2023,296,5724040.19
2024,296,6659474.33
2023,311,162642.88
2024,311,110585.93
2023,312,4379215.26
2024,312,2418410.6
2023,313,1439594.09
2024,313,941247.83
2023,314,192989.05
2024,314,1240416.05
2023,316,69997.93
2024,316,74317.04
2023,317,1384892.04
2024,317,1333865.77
2023,318,271879.85
2024,318,142525
2023,319,2331020.57
2024,319,2746494.15
2023,320,114425.58
2024,320,13575.32
2023,321,643813.66
2024,321,340273.24
2023,322,10066049.53
2024,322,10933351.54
2023,323,166201.92
2024,323,63647.57
2023,324,6038136.13
2024,324,5919479.73
2023,325,159297.07
2024,325,145288.34
2023,328,19253
2024,328,47410.74
2023,341,499006.5
2024,341,503106.6
2023,342,2332110.18
2024,342,2689828.45
2023,351,60980314.79
2024,351,60088746.74
2023,352,833679.52
2024,352,602092.76
2023,353,2995588.02
2024,353,2899451.72
2023,354,620331166.57
2024,354,707528153.25
2023,355,7957320.98
2024,355,7698967.94
2023,371,303470.81
2024,371,18922
2023,372,1589936.48
2024,372,2148152.54
2023,373,25452.62
2024,373,24619.95
2023,374,574981.24
2024,374,612882.01
2023,375,1397034.72
2024,375,800801.74
2023,376,103022.44
2024,376,561408.19
2023,377,2951842.27
2024,377,3472751.65
2023,391,38918808.56
2024,391,39600874.71
2023,410,66116546.19
2024,410,74601374.4
2023,420,43740574.91
2024,420,39904549.05
2023,511,2277619.36
2024,511,3002598.88
2023,512,926074.13
2024,512,331363.47
2023,513,4391543.46
2024,513,4441067.37
2023,514,3406355.84
2024,514,2886956.3
2023,515,23999850.32
2024,515,22532360.43
2023,516,22385363.47
2024,516,22222362.96
2023,517,1095125.76
2024,517,1084901.13
2023,518,60725757.79
2024,518,64236408.39
2023,519,83300260.43
2024,519,103598954.42
2023,529,223374893.25
2024,529,229090983.78
2023,610,81442939.01
2024,610,95706809.12
2023,620,12794318.08
2024,620,57091354.37
2023,630,148839.23
2024,630,728196
2023,640,3250750.64
2024,640,3789506.05
2023,710,8555253.6
2024,710,6799415.08
2023,720,1882697.86
2024,720,912292.34
2023,730,108621.9
2024,730,130623.2
2023,740,79420.1
2024,740,9600
2023,750,248753.16
2024,750,209009.1
2023,760,1364159.03
2024,760,1458564.49
2023,770,1849137.09
2024,770,2382683.63
2023,780,5794665.39
2024,780,2768953.48
2023,810,1159579.66
2024,810,426614.33
2023,820,255370.63
2024,820,203885.22
2023,830,34262.22
2024,830,40340.31
2023,840,1830628.12
2024,840,1251832.41
2023,860,34119.04
2024,860,396991.6
2023,870,136255.57
2024,870,95618.93
2023,900,16749440.38
2024,900,13565549.6
2023,,278194305.65
2024,,295736396.51
