ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
"Alíquota 0% - Automoveis Deficientes, Taxi - Art 149",GERAL,Alíquota 0%,I,Automóveis de passageiros (táxi),INC,87.03
"Alíquota 0% - Automoveis Deficientes, Taxi - Art 149",GERAL,Alíquota 0%,II,"Automóveis de passageiros (pessoas com: deficiência física, visual ou auditiva; deficiência mental severa ou profunda; transtorno do espectro autista, com prejuízos na comunicação social e em padrões restritos ou repetitivos de comportamento de nível moderado ou grave, nos termos da legislação relativa à matéria.)",INC,87.03
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,1,Arroz,INC,1006.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,1,Arroz,INC,1006.30
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,1,Arroz,INC,1006.40.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população",INC,0401.10.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população",INC,0401.10.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população",INC,0401.20.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população",INC,0401.20.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população",INC,0401.40.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,2,"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população",INC,0401.50.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,3,"Leite em pó, em conformidade com os requisitos da legislação específica",INC,0402.10.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,3,"Leite em pó, em conformidade com os requisitos da legislação específica",INC,0402.10.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,3,"Leite em pó, em conformidade com os requisitos da legislação específica",INC,0402.21.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,3,"Leite em pó, em conformidade com os requisitos da legislação específica",INC,0402.21.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,3,"Leite em pó, em conformidade com os requisitos da legislação específica",INC,0402.29.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,3,"Leite em pó, em conformidade com os requisitos da legislação específica",INC,0402.29.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,4,"Fórmulas infantis, em conformidade com os requisitos da legislação específica",INC,1901.10.10
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,4,"Fórmulas infantis, em conformidade com os requisitos da legislação específica",INC,1901.10.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,4,"Fórmulas infantis, em conformidade com os requisitos da legislação específica",INC,2106.90.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,5,Manteiga,INC,0405.10.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,6,Margarina,INC,1517.10.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,7,Feijões,INC,0713.33.19
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,7,Feijões,INC,0713.33.29
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,7,Feijões,INC,0713.33.99
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,7,Feijões,INC,0713.35.90
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,8,Café,INC,09.01
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,8,Café,INC,2101.1
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,9,"Óleo de babaçu, em conformidade com os requisitos da legislação específica relativos ao consumo como alimento",INC,1513.21.20
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,10,Farinha de mandioca,INC,1106.20.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,10,Tapioca e seus sucedâneos,INC,1903.00.00
Alíquota 0% - Cesta Básica - Anexo I - Art. 125,GERAL,Alíquota 0%,11,"Farinha, grumos e sêmolas, de milho",INC,1102.20.00
