contribuinte_pessoa_fisica,debitos_apurados,debitos_apurados_1,creditos_apurados,creditos_apurados_1,arrecadacao_estimada,arrecadacao_estimada_1,debitos_apurados_2,debitos_apurados_3,creditos_apurados_2,creditos_apurados_3,arrecadacao_estimada_2,arrecadacao_estimada_3
"10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165. (Fatur. >3,6 mi e não integrado)",15.742279502616977,15.100023924302631,23.20939823737844,21.856826613678155,-7.467118734761463,-6.756802689375524,15.742279502616977,15.100023924302631,23.20939823737844,21.856826613678155,-7.467118734761463,-6.756802689375524
10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,4.313717208296095,4.7927644107279885,0.7866179897112667,0.853587525753589,3.5270992185848278,3.9391768849743993,4.313717208296095,4.7927644107279885,0.7866179897112667,0.853587525753589,3.5270992185848278,3.9391768849743993
10.1 - Produtor Rural contribuinte da CBS - Art. 164 e 165.,,,,,,,,,,,,
,,,,(R$ bilhões),,,,,,(R$ bilhões),,
,,2024,2023,,,,,2024,2023,,,
Alíquotas,Alíquota CBS,BC da produção (Débitos),BC da produção (Débitos),Débitos apurados,Débitos apurados,,Alíquota CBS,BC da produção (Débitos),BC da produção (Débitos),Débitos apurados,Débitos apurados,
TOTAL,,,,15.100023924302631,15.742279502616977,,,,,15.100023924302631,15.742279502616977,
Alíquota 0% - Cesta Básica - Anexo I - Art 125,0,25.70666148459946,20.08734176813143,0,0,,0,25.70666148459946,20.08734176813143,0,0,
Alíquota 0% - Medicamentos - art 146,0,0.001692109688669586,0.006288336199001605,0,0,,0,0.001692109688669586,0.006288336199001605,0,0,
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,0,36.45029763564039,30.836087204813868,0,0,,0,36.45029763564039,30.836087204813868,0,0,
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",0,0.4644372595346567,0.6379855844439736,0,0,,0,0.4644372595346567,0.6379855844439736,0,0,
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,0.034,59.65679174478491,72.86865760939381,2.0283309193226873,2.4775343587193897,,0.034,59.65679174478491,72.86865760939381,2.0283309193226873,2.4775343587193897,
Alíquota reduzida 60% - Anexo X - art 139,0.034,8.985904969311313e-05,0,3.0552076895658466e-06,0,,0.034,8.985904969311313e-05,0,3.0552076895658466e-06,0,
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,0.034,0.018774171508804678,0.000680649396405332,0.0006383218312993591,2.314207947778129e-05,,0.034,0.018774171508804678,0.000680649396405332,0.0006383218312993591,2.314207947778129e-05,
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,0.034,200.52222571746123,213.368614451513,6.817755674393682,7.254532891351443,,0.034,200.52222571746123,213.368614451513,6.817755674393682,7.254532891351443,
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,0.034,0.001286389441255686,0.000209171319772404,4.373724100269333e-05,7.111824872261736e-06,,0.034,0.001286389441255686,0.000209171319772404,4.373724100269333e-05,7.111824872261736e-06,
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,0.034,173.336667095336,165.7395368999311,5.893446681241424,5.635144254597658,,0.034,173.336667095336,165.7395368999311,5.893446681241424,5.635144254597658,
Alíquota de Referência - Demais Produtos,0.085,4.2330062948805445,4.412208753460419,0.3598055350648463,0.37503774404413565,,0.085,4.2330062948805445,4.412208753460419,0.3598055350648463,0.37503774404413565,
10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,,,,,,,,,,,,
,,,,(R$ bilhões),,,,,,(R$ bilhões),,
,,2024,2023,,,,,2024,2023,,,
Alíquotas,Alíquota CBS,BC dos serviços (Débitos),BC dos serviços (Débitos),Débitos apurados,Débitos apurados,,Alíquota CBS,BC dos serviços (Débitos),BC dos serviços (Débitos),Débitos apurados,Débitos apurados,
Alíq. Referência - Demais serviços e bens,0.085,16.56159308054097,15.368780816471526,1.4077354118459826,1.3063463694000799,,0.085,16.56159308054097,15.368780816471526,1.4077354118459826,1.3063463694000799,
Alíq. Referência - Titular de Cartório,0.085,28.075560143201034,24.278582199870414,2.386422612172088,2.063679486988985,,0.085,28.075560143201034,24.278582199870414,2.386422612172088,2.063679486988985,
Alíq. Reduzida em 30% - Profissionais Liberais - Art. 127 ,0.0595,4.732386982309478,4.329255521962486,0.2815770254474139,0.25759070355676794,,0.0595,4.732386982309478,4.329255521962486,0.2815770254474139,0.25759070355676794,
Alíq. reduzida em 60%  - Serviços de saúde - Art. 130 (Anexo III),0.034,20.354266850826505,19.474973099284018,0.6920450729281012,0.6621490853756566,,0.034,20.354266850826505,19.474973099284018,0.6920450729281012,0.6621490853756566,
"Alíq. reduzida em 60%  - Prof. artes, cultura, eventos, jornalistica e audio - Art. 139 (Anexo X)",0.034,0.2281932798972915,0.22216156956218405,0.007758571516507911,0.007553493365114258,,0.034,0.2281932798972915,0.22216156956218405,0.007758571516507911,0.007553493365114258,
Alíq. reduzida em 60%  - Prof. educação - Art. 129,0.034,0.5066387299380926,0.48229616498500655,0.01722571681789515,0.016398069609490223,,0.034,0.5066387299380926,0.48229616498500655,0.01722571681789515,0.016398069609490223,
Total,,,,4.7927644107279885,4.313717208296095,,,,,4.7927644107279885,4.313717208296095,
,,,,(R$ bilhões),,,,,,(R$ bilhões),,
,,,2023,,,,,,2023,,,
,,Créditos apurados,BC dos custos e despesas (Créditos),,,,,Créditos apurados,BC dos custos e despesas (Créditos),,,
Custos e despesas sujeitos a tomada de crédito tributado as seguintes alíquotas,Alíquota CBS,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,,Alíquota CBS,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.1 - Produtor Rural contribuinte CBS - Art. 164 e 165.,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,10.2 - Serviços Prestados por Pessoas Físicas Contribuintes da CBS,
