0191_agricultura_inclusive_o_apoio_a_agricultura_e_a_pos_colheita,0192_pecuaria_inclusive_o_apoio_a_pecuaria,0280_producao_florestal_pesca_e_aquicultura,0580_extracao_de_carvao_mineral_e_de_minerais_nao_metalicos,0680_extracao_de_petroleo_e_gas_inclusive_as_atividades_de_apoio,0791_extracao_de_minerio_de_ferro_inclusive_beneficiamentos_e_a_aglomeracao,0792_extracao_de_minerais_metalicos_nao_ferrosos_inclusive_beneficiamentos,1091_abate_e_produtos_de_carne_inclusive_os_produtos_do_laticinio_e_da_pesca,1092_fabricacao_e_refino_de_acucar,1093_outros_produtos_alimentares,1100_fabricacao_de_bebidas,1200_fabricacao_de_produtos_do_fumo,1300_fabricacao_de_produtos_texteis,1400_confeccao_de_artefatos_do_vestuario_e_acessorios,1500_fabricacao_de_calcados_e_de_artefatos_de_couro,1600_fabricacao_de_produtos_da_madeira,1700_fabricacao_de_celulose_papel_e_produtos_de_papel,1800_impressao_e_reproducao_de_gravacoes,1991_refino_de_petroleo_e_coquerias,1992_fabricacao_de_biocombustiveis,2091_fabricacao_de_quimicos_organicos_e_inorganicos_resinas_e_elastomeros,2092_fabricacao_de_defensivos_desinfestantes_tintas_e_quimicos_diversos,2093_fabricacao_de_produtos_de_limpeza_cosmeticos_perfumaria_e_higiene_pessoal,2100_fabricacao_de_produtos_farmoquimicos_e_farmaceuticos,2200_fabricacao_de_produtos_de_borracha_e_de_material_plastico,2300_fabricacao_de_produtos_de_minerais_nao_metalicos,2491_producao_de_ferro_gusa_ferroligas_siderurgia_e_tubos_de_aco_sem_costura,2492_metalurgia_de_metais_nao_ferrosos_e_a_fundicao_de_metais,2500_fabricacao_de_produtos_de_metal_exceto_maquinas_e_equipamentos,2600_fabricacao_de_equipamentos_de_informatica_produtos_eletronicos_e_opticos,2700_fabricacao_de_maquinas_e_equipamentos_eletricos,2800_fabricacao_de_maquinas_e_equipamentos_mecanicos,2991_fabricacao_de_automoveis_caminhoes_e_onibus_exceto_pecas,2992_fabricacao_de_pecas_e_acessorios_para_veiculos_automotores,3000_fabricacao_de_outros_equipamentos_de_transporte_exceto_veiculos_automotores,3180_fabricacao_de_moveis_e_de_produtos_de_industrias_diversas,3300_manutencao_reparacao_e_instalacao_de_maquinas_e_equipamentos,3500_energia_eletrica_gas_natural_e_outras_utilidades,3680_agua_esgoto_e_gestao_de_residuos,4180_construcao,4500_comercio_e_reparacao_de_veiculos_automotores_e_motocicletas,4680_comercio_por_atacado_e_a_varejo_exceto_veiculos_automotores,4900_transporte_terrestre,5000_transporte_aquaviario,5100_transporte_aereo,5280_armazenamento_atividades_auxiliares_dos_transportes_e_correio,5500_alojamento,5600_alimentacao,5800_edicao_e_edicao_integrada_a_impressao,5980_atividades_de_televisao_radio_cinema_e_gravacao_edicao_de_som_e_imagem,6100_telecomunicacoes,6280_desenvolvimento_de_sistemas_e_outros_servicos_de_informacao,6480_intermediacao_financeira_seguros_e_previdencia_complementar,6800_atividades_imobiliarias,6980_atividades_juridicas_contabeis_consultoria_e_sedes_de_empresas,7180_servicos_de_arquitetura_engenharia_testes_analises_tecnicas_e_p_d,7380_outras_atividades_profissionais_cientificas_e_tecnicas,7700_alugueis_nao_imobiliarios_e_gestao_de_ativos_de_propriedade_intelectual,7880_outras_atividades_administrativas_e_servicos_complementares,8000_atividades_de_vigilancia_seguranca_e_investigacao,8400_administracao_publica_defesa_e_seguridade_social,8591_educacao_publica,8592_educacao_privada,8691_saude_publica,8692_saude_privada,9080_atividades_artisticas_criativas_e_de_espetaculos,9480_organizacoes_associativas_e_outros_servicos_pessoais,9700_servicos_domesticos,total_do_produto
421109,130445,39531,11561,231887,167230,14189,59950,18988,78319,26193,3106,19370,28809,16343,19564,29864,8119,90157,20994,62229,19572,11340,45544,37300,42799,96011,29466,51610,19947,29515,59125,25538,32464,8912,44592,37099,157298,63684,275111,121904,843798,183535,14616,3073,102818,16415,120712,7995,17533,79011,159992,447048,699465,195074,50176,53773,49842,213521,36376,719944,340323,100728,158689,222222,22891,86270,61371,7713999
37950,25160,2882,4882,21242,5777,3331,40203,9426,39201,11397,1988,12601,19120,10928,8175,16184,5338,12103,8112,15965,11824,7306,15775,25874,23721,14974,7744,27076,10741,18582,35143,20439,22668,8254,20315,18587,20258,25019,130162,58513,413275,96653,6472,6682,48512,10988,57472,6183,12175,23331,81702,201153,9646,80109,24050,22628,14950,145387,32583,603962,323126,87511,149825,122204,13514,44244,61371,3534648
32130,21953,2497,3819,16134,4505,2646,31659,6714,30796,8785,1508,10276,15412,9104,6732,12680,4388,8760,6140,12076,9101,5723,12102,20045,18923,11307,6216,21508,8468,14383,27444,15764,18860,6705,16300,15342,14733,18965,107355,47603,326040,78295,5296,5574,37541,9134,48793,5210,10231,17555,65562,153797,7572,65440,19296,18734,11963,117177,25808,429084,260257,73352,122956,105371,11720,37798,59897,2795014
5820,3207,385,1063,5108,1272,685,8544,2712,8405,2612,480,2325,3708,1824,1443,3504,950,3343,1972,3889,2723,1583,3673,5829,4798,3667,1528,5568,2273,4199,7699,4675,3808,1549,4015,3245,5525,6054,22807,10910,87235,18358,1176,1108,10971,1854,8679,973,1944,5776,16140,47356,2074,14669,4754,3894,2987,28210,6775,88731,55672,14159,19588,16833,1794,6446,1474,639009
5820,3207,385,1053,4097,1223,647,8291,2655,8085,2516,435,2271,3666,1802,1384,3122,910,2000,1952,3494,2411,1546,3417,5648,4653,3355,1443,5407,2206,4021,7342,4427,3642,1454,3899,3124,4041,5385,22210,10857,86104,17574,1128,1085,9486,1807,8628,943,1873,4576,15121,41014,2015,13441,4573,3792,2904,27696,6725,86596,55338,14077,19567,16723,1741,6349,1474,611853
0,0,0,10,1011,49,38,253,57,320,96,45,54,42,22,59,382,40,1343,20,395,312,37,256,181,145,312,85,161,67,178,357,248,166,95,116,121,1484,669,597,53,1131,784,48,23,1485,47,51,30,71,1200,1019,6342,59,1228,181,102,83,514,50,2135,334,82,21,110,53,97,0,27156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86147,7197,0,7281,0,0,0,0,100625
387668,104422,36464,6459,208581,159899,10623,16083,8407,34467,13705,983,6140,9028,4952,10843,12579,2534,76087,12070,44152,6759,3494,28971,9935,17937,79135,20949,23055,7925,9878,22082,3503,8612,249,23406,17962,133278,37659,141157,61806,416875,83255,7668,-4181,52461,5073,61681,1631,4481,52994,75511,239754,689238,111759,25863,30311,34254,63863,2789,115808,17197,10805,8864,96532,9097,40908,0,4078389
184642,69026,16923,269,0,0,0,406,0,4027,27,0,1035,4774,733,1708,309,522,0,0,0,0,613,0,389,856,0,-19,2556,0,0,0,0,32,1,1416,4388,0,1511,66152,24402,58221,24784,271,0,1972,1448,39681,22,1137,388,13885,3201,3741,37402,10984,6539,588,6740,924,0,0,8883,0,58199,5814,29999,0,701521
203026,35396,19541,6190,208581,159899,10623,15677,8407,30440,13678,983,5105,4254,4219,9135,12270,2012,76087,12070,44152,6759,2881,28971,9546,17081,79135,20968,20499,7925,9878,22082,3503,8580,248,21990,13574,133278,36148,75005,37404,358654,58471,7397,-4181,50489,3625,22000,1609,3344,52606,61626,236553,685497,74357,14879,23772,33666,57123,1865,115808,17197,1922,8864,38333,3283,10909,0,3376868
