ncm,valor_antes_tratamento,valor_apos_tratamento,diferenca
00000000,4737193051.059999,0,-4737193051.059999
00000001,900111.04,0,-900111.04
00000002,892.56,0,-892.56
00000003,2176.6,0,-2176.6
00000004,52.65,0,-52.65
00000005,2800,0,-2800
00000006,10800,0,-10800
00000007,843.04,0,-843.04
00000008,60,0,-60
00000009,7618,0,-7618
00000010,50,0,-50
00000018,55,0,-55
00000019,28409.90000000002,0,-28409.90000000002
00000020,12,0,-12
00000021,1278.4,0,-1278.4
00000022,13030.19,0,-13030.19
00000035,375,0,-375
00000038,315.35,0,-315.35
00000039,8762.810000000001,0,-8762.810000000001
00000044,370,0,-370
00000048,1.4,0,-1.4
00000060,5168.15,0,-5168.15
00000068,26370.1,0,-26370.1
00000069,770,0,-770
00000070,635,0,-635
00000072,3680,0,-3680
00000073,57972,0,-57972
00000075,250,0,-250
00000084,102333.66,0,-102333.66
00000085,6339.1,0,-6339.1
00000087,4195,0,-4195
00000090,56,0,-56
00000096,2813,0,-2813
00000098,8958.64,0,-8958.64
00000099,69736.62999999999,0,-69736.62999999999
00000100,4036.33,0,-4036.33
00000102,570,0,-570
00000226,145.08,0,-145.08
00000704,322,0,-322
00000705,511,0,-511
00000706,5620,0,-5620
00000732,3715.75,0,-3715.75
00000736,395,0,-395
00001199,90,0,-90
00001404,384355,0,-384355
00001507,479.2,0,-479.2
00001902,140,0,-140
00003050,50,0,-50
00003141,3240,0,-3240
00004516,190,0,-190
00004604,30,0,-30
00006206,1950,0,-1950
00006908,6905,0,-6905
00008000,126,0,-126
00008311,20,0,-20
00008403,10285.56,0,-10285.56
00008923,220,0,-220
00009088,4.7,0,-4.7
00009876,320,0,-320
00009879,60,0,-60
00010021,9.1,0,-9.1
00012321,479,0,-479
00012345,52,0,-52
00012802,753547.91,0,-753547.91
00014424,3657,0,-3657
00020013,120,0,-120
00020304,130,0,-130
00022255,85.65,0,-85.65
00023336,63,0,-63
00024941,27,0,-27
00025283,450,0,-450
00025524,142,0,-142
00030121,25,0,-25
00061044,154,0,-154
00062044,92,0,-92
00071320,116.91,0,-116.91
00080620,320,0,-320
00085017,789713.56,0,-789713.56
00095750,14990,0,-14990
00097507,444,0,-444
00099991,1080,0,-1080
00101112,41.75,0,-41.75
00110814,47.96,0,-47.96
00120201,2.8,0,-2.8
00123456,315,0,-315
00125474,52.76,0,-52.76
00133402,35.5,0,-35.5
00155366,75.72,0,-75.72
00160413,200,0,-200
00190190,272,0,-272
00199900,7.4,0,-7.4
00209001,189.9,0,-189.9
00210201,120,0,-120
00220210,220,0,-220
00220600,24,0,-24
00229000,5270,0,-5270
00250100,80,0,-80
00255887,100,0,-100
00264211,250,0,-250
