ncm,valor_produtos_servicos,tributos_nfe,base_cbs
22071010,12543500.92,244183.9400000002,16177734.093885
22071090,98648068.28000012,4764657.28,127229409.6909313
22072011,1884092.4,1442.53,2429971.189854197
27101251,59945442.55000001,3549658.940000001,77313457.85353199
27101259,217383888.2700015,628981.55,280366602.8452678
27101911,295314690.6799999,36739842.23,380876325.5417323
27101921,18683637599.13002,4988026.310000001,24096854850.41105
27101922,625384.7600000001,7200.05,806577.7184674604
27111100,491477.37,2258.37,633873.2906970547
27111910,170428321.43,124509.85,219806582.2090842
27112100,2325416.96,224127.07,2999160.878308479
27112990,13296.83,384.23,17149.32548764009
38260000,5678206.549999999,60973.91,7323355.43975518
