32_industrias_diversas,33_servicos_industriais_de_utilidade,34_construcao_civil,35_comercio,36_transportes
7536961,47594307,100951217,107501248,34185740
1441314.3157843673,14228875.140270546,12330982.203024708,49739660.4654411,20398259.946997765
1036023.4048998738,10032430.346670045,9528761.096445084,37266795.61310101,14916925.523117648
405290.9108844934,4196444.7936005015,2802221.1065796237,12472864.852340087,5481334.423880118
385225.0498977485,3357028.619185122,2788735.0698511642,12433239.918438535,5336611.696635639
20065.86098674489,839416.1744153796,13486.036728459427,39624.933901552664,144722.72724447833
0,0,0,0,0
5300167.621997885,29132189.548869953,83386221.99655536,41707620.65076802,10679120.654999137
165083.550908312,0,6584467.72358096,21624844.198250197,8447776.5772656
5135084.071089573,29132189.548869953,76801754.2729744,20082776.452517822,2231344.077733537
795479.0622177471,4374815.310859499,6017293.800419926,16808185.883790873,3919572.3980030986
0,-141573,-783281,-754219,-811213
19068799,96754004,192867698,215114022,105705191
340700,242300,3771400,11296000,2817100
Componentes do valor adicionado (valores correntes em 1 000 000 R$),,,,
"37
Comunicações","38
Instituições
financeiras","39
Serviços
prestados às famílias","40
Serviços
prestados às
empresas","41
Aluguel
de imóveis"
44151251,97459330,67056942,60490339,142543933
12628493.593236156,37530172.77336911,40464729.43808219,30950353.750870243,2126414.270647114
9371151.010224339,30254687.133756973,37808813.745342776,22636784.22226192,1604446.191031536
3257342.5830118163,7275485.639612139,2655915.692739411,8313569.528608322,521968.07961557823
3087874.341174811,6155922.97844946,2618591.0878181374,8274192.444097132,521968.07961557823
169468.24183700528,1119562.6611626789,37324.60492127336,39377.084511189736,0
0,0,0,0,0
28336562.303959824,52723348.86364702,20136254.340374865,25562700.92266342,138780498.3687392
0,3759014.0274202824,16879195.724697173,6365994.33562233,747120.2940717964
28336562.303959824,48964334.83622674,3257058.615677692,19196706.58704109,138033378.0746674
3255028.1028040187,7205808.362983873,6455958.221542949,3977284.326466333,1637020.360613704
-68833,0,0,0,0
70489953,137891866,135804015,91726582,151309568
269900,817100,10416900,3238300,257500
Componentes do valor adicionado (valores correntes em 1 000 000 R$),,,,
"42
Administração
pública","43
Serviços privados
não-mercantis","46
Dummy
financeiro","Total
do produto",
220458387,17336528,-74660609,,1395604382
219518471.92000002,17128807.037042372,0,,554148834.1192193
141126279.15,14129806.769113448,0,,399881787.47921926
14261394.13,2999000.2679289244,0,,90136248
13943102.5,2943961.9692093013,0,,86526494.00000001
318291.63,55038.29871962323,0,,3609754
64130798.64,0,0,,64130798.64
0.07999998331069946,0,-74660609,,738682836.8807807
0,0,0,,69756604.41171132
0.07999998331069946,0,-74660609,,668926232.4690695
939915,207720.9629576279,0,,106389883.99999999
0,0,0,,-3617173
326428062,18993467,0,,3026166888
6364500,6331900,0,,67334200
,,,,
