exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total
1979,70,0,1409,0,12245,15703,50589
22656,53,0,9779,0,30117,62605,125926
18609,0,0,11,0,-830,17790,34790
3,0,0,2318,0,0,2321,82968
213948,0,0,309,0,9032,223289,345837
3981,53,0,100772,0,-883,103923,142742
5,0,0,4157,356,0,4518,20560
31487,0,0,936,189,-1687,30925,40217
4124,8,0,48240,255,0,52627,59464
1972,0,0,1358,27970,-1012,30288,141489
0,0,0,19981,0,0,19981,60234
23,0,0,449,82,0,554,18220
1737,3,0,18764,228,8,20740,61667
5591,0,0,13410,1990,-1156,19835,47264
1602,5,0,23478,0,0,25085,31583
2,0,0,0,0,-399,-397,20227
3868,0,0,0,0,1585,5453,43397
165133,0,0,0,16433,-12672,168894,406473
239133,0,0,0,0,-7701,231432,309554
21903,0,0,0,0,-3347,18556,40273
58308,64,0,191200,0,2316,251888,311329
13319,0,0,17042,0,-50,30311,44612
43656,0,0,63252,0,-35,106873,123803
1721,0,0,12056,0,41,13818,15653
15,18,0,22370,0,25,22428,43208
588,9,0,105020,0,-176,105441,122690
49456,0,0,11834,0,981,62271,83821
15997,22,0,39656,0,-1679,53996,63043
52165,0,0,43840,0,579,96584,194253
3076,5,0,25230,0,-727,27584,31989
1548,16,0,40671,0,1145,43380,47980
2001,15,0,44122,0,4120,50258,94958
2282,0,0,22500,0,2464,27246,92811
7496,45,0,228130,0,4578,240249,274261
4193,0,0,110046,0,1699,115938,189520
7758,0,0,41410,0,-81,49087,51078
441,0,0,117,0,2178,2736,25836
1638,0,0,2240,0,4536,8414,49414
1740,0,0,57378,0,2341,61459,83664
2435,40,0,163690,0,-1467,164698,180698
13382,0,0,71520,0,-833,84069,96833
22992,0,0,4105,125,1940,29162,76026
36323,0,0,0,0,-2451,33872,49440
10595,0,0,24191,0,-99,34687,158284
224,0,0,830,0,17,1071,39300
3091,0,0,945,0,383,4419,23582
0,0,0,209837,0,0,209837,237737
621,0,0,0,0,1125,1746,36708
29521,0,0,0,0,882,30403,58615
0,0,0,9280,0,0,9280,249686
7816,0,0,50709,0,-735,57790,414151
5755,0,0,70785,0,-1335,75205,178587
4865,0,0,37,0,82,4984,183468
1178,0,0,0,0,116,1294,158309
15428,0,0,0,0,3602,19030,165581
14236,0,0,0,0,5848,20084,165110
1856,0,0,934,0,5144,7934,117999
10797,0,0,837,0,2452,14086,72392
1450,0,0,536,0,965,2951,42113
7011,0,0,116826,0,-2696,121141,149682
6058,12176,0,164613,0,3483,186330,280596
8024,0,0,15201,0,4936,28161,79101
6326,0,0,11074,0,5709,23109,193956
196,0,0,0,0,1091,1287,25676
234,0,0,0,0,4573,4807,47361
12672,0,0,5550,0,5318,23540,124657
27640,0,0,0,0,-534,27106,43744
53540,0,0,275,511,8609,62935,339710
61216,0,0,797,0,276,62289,170586
238,0,0,0,0,379,617,13215
11330,0,0,22901,18691,6581,59503,276739
727,0,0,0,697,2021,3445,76172
661,0,0,38445,25395,1869,66370,100026
2062,0,0,86295,48687,2393,139437,173082
2447,0,0,5209,26682,1191,35529,54089
14547,0,0,4898,47460,11054,77959,202102
1427,0,0,60230,4212,5219,71088,75991
5552,0,0,451,76064,0,82067,94718
16484,0,0,0,36120,0,52604,66132
23358,0,0,11059,129625,3066,167108,302256
22115,0,0,175800,72600,145,270660,273455
16110,0,0,4027,84570,-298,104409,116099
23221,0,0,0,0,-538,22683,247553
21944,0,0,24974,87705,16277,150900,182120
5555,0,0,83676,18581,2500,110312,117045
4792,0,0,62066,9194,-471,75581,141769
3676,0,0,694,20093,0,24463,135360
115,0,0,167000,0,0,167115,545725
3,0,0,48830,0,54,48887,120930
326,0,0,0,372106,0,372432,423909
0,0,0,0,155452,0,155452,188300
3568,0,0,0,140581,0,144149,190618
475,0,0,69820,0,0,70295,104925
4516,0,0,0,0,0,4516,64373
544,0,0,2500,0,0,3044,304566
261,0,0,78609,0,0,78870,98861
11493,0,0,1322,0,0,12815,47169
9120,0,0,6167,0,0,15287,41533
17529,0,0,37287,0,0,54816,177494
2072,0,0,3121,0,0,5193,33760
5097,0,0,6863,0,0,11960,44768
3208,0,0,269233,0,0,272441,327365
1062,0,0,13731,0,-855,13938,32173
2041,0,0,1256,0,0,3297,48729
2850,0,0,142541,0,0,145391,231911
14988,0,0,5578,139014,15,159595,313090
10944,1785,0,396491,0,0,409220,860098
5282,0,0,132615,0,0,137897,297914
0,0,0,547406,0,0,547406,547406
22883,0,0,23056,0,0,45939,320554
0,0,0,0,48333,0,48333,52019
28042,0,0,1072,4781,0,33895,105862
7028,0,0,3165,0,0,10193,189327
8979,0,0,5884,0,0,14863,147943
3470,0,39053,3184,0,0,45707,132576
6054,0,0,9195,0,0,15249,210397
0,0,0,539,0,0,539,48457
0,921631,0,0,0,0,921631,921631
0,11542,0,0,0,0,11542,11542
0,388877,0,0,0,0,388877,388877
36,0,0,136452,0,0,136488,158307
0,273993,0,0,0,0,273993,273993
572,61105,10067,274870,0,0,346614,395274
2729,0,13015,35620,0,0,51364,57203
0,0,52913,35709,0,0,88622,97965
0,0,0,11880,0,0,11880,35422
0,0,0,56374,0,0,56374,62144
0,0,0,61371,0,0,61371,61371
1722169,1671535,115048,5415523,1614782,144558,10683615,19551489
