atividade_de_divulgacao_scn_2010,desc_ativ,exportacao_de_bens_e_servicos_1,variacao_de_estoque,demanda_total,demanda_total_export_variacao_estoque,consumo_intermediario_total,consumo_final_proxy_debitos_cbs_2021
0191,"Agricultura, inclusive o apoio à agricultura e a pós-colheita",296792,47994,903093,558307,389392,0.3025485978144641
0192,"Pecuária, inclusive o apoio à pecuária",3732,-1004,281610,278882,210047,0.24682482196771394
0280,Produção florestal; pesca e aquicultura,7193,-1156,78847,72810,33927,0.5340337865677791
0580,Extração de carvão mineral e de minerais não-metálicos,3870,1186,63624,58568,58568,0
0680,"Extração de petróleo e gás, inclusive as atividades de apoio",165133,-12672,406473,254012,237579,0.06469379399398453
0791,"Extração de minério de ferro, inclusive beneficiamentos e a aglomeração",239133,-7701,309554,78122,78122,0
0792,"Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos",21903,-3347,40273,21717,21717,0
1091,"Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",117607,2121,661295,541567,130536,0.7589661113029412
1092,Fabricação e refino de açúcar,49456,981,83821,33384,21550,0.3544811885933381
1093,Outros produtos alimentares,84565,10480,799295,704250,259998,0.6308157614483493
1100,Fabricação de bebidas,4193,1699,189520,183628,73582,0.5992876903304507
1200,Fabricação de produtos do fumo,7758,-81,51078,43401,1991,0.954125480979701
1300,Fabricação de produtos têxteis,3819,9055,158914,146040,86305,0.40903177211722813
1400,Confecção de artefatos do vestuário e acessórios,2435,-1467,180698,179730,16000,0.9109775774773271
1500,Fabricação de calçados e de artefatos de couro,13382,-833,96833,84284,12764,0.8485596317213231
1600,Fabricação de produtos da madeira,22992,1940,76026,51094,46864,0.08278858574392296
1700,"Fabricação de celulose, papel e produtos de papel",46918,-2550,207724,163356,139165,0.14808761233134993
1800,Impressão e reprodução de gravações,224,17,39300,39059,38229,0.021249903991397628
1991,Refino de petróleo e coquerias,41049,1655,1020479,977775,707004,0.27692567308429855
1992,Fabricação de biocombustíveis,5755,-1335,178587,174167,103382,0.40642027479373244
2091,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",35707,9648,672468,627113,627076,5.9000531004779045e-05
2092,"Fabricação de defensivos, desinfestantes, tintas e químicos diversos",14103,8561,232504,209840,207533,0.010994090735798703
2093,"Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",7011,-2696,149682,145367,28541,0.8036624543397057
