ref,valor_nfe,base_cbs
"Alíquota 0% - Automoveis Deficientes, Taxi - Art 149",0,0
Alíquota 0% - Cesta Básica - Anexo I - Art 125,1427301685.48,1828982022.424505
Alíquota 0% - Cuidados básicos - art 147,0,0
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,0,0
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,0,0
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,0,0
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,0,0
Alíquota 0% - Medicamentos - art 146,0,0
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,1473503713.04,1888186519.039657
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",0,0
Alíquota de Referência - Demais Produtos,91291726463.03,116983625953.4894
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,10388122949.4625,13311614716.48705
Alíquota reduzida 60%  -Dispositivos acessibilidade - Anexo V - Art 132,0,0
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,218443872113.214,279919738810.863
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",0,0
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,41069766880.36349,52627882425.63365
Alíquota reduzida 60%  -Produtos higiene - Anexo VIII - Art 136,0,0
Alíquota reduzida 60% - Anexo X - art 139,0,0
"Alíquota reduzida 60% - bens e serviços relacionados à soberania, segurança (nacional, da informação e cibernética) - Anexo XI - art 142",0,0
