ncm,valor_produtos_servicos,tributos_nfe
00000000,0,0
00000001,0,0
00000002,0,0
00000003,0,0
00000004,0,0
00000007,0,0
00000009,0,0
00000010,0,0
00000013,0,0
00000016,0,0
00000017,0,0
00000018,0,0
00000019,0,0
00000021,0,0
00000022,0,0
00000025,0,0
00000027,0,0
00000034,0,0
00000038,0,0
00000040,0,0
00000044,0,0
00000048,0,0
00000058,0,0
00000068,0,0
00000071,0,0
00000072,0,0
00000073,0,0
00000080,0,0
00000081,0,0
00000082,0,0
00000083,0,0
00000084,0,0
00000085,0,0
00000087,0,0
00000098,0,0
00000099,0,0
00000100,0,0
00000102,0,0
00000186,0,0
00000188,0,0
00000321,0,0
00000702,0,0
00000704,0,0
00000705,0,0
00000732,0,0
00000870,0,0
00001199,0,0
00001234,0,0
00001404,0,0
00003506,0,0
00003837,0,0
00004013,0,0
00004516,0,0
00006203,0,0
00006206,0,0
00006908,0,0
00007214,0,0
00007310,0,0
00008141,0,0
00008403,0,0
00008433,0,0
00008481,0,0
00008538,0,0
00008703,0,0
00008880,0,0
00008907,0,0
00008922,0,0
00009101,0,0
00009505,0,0
00009879,0,0
00017489,0,0
00020066,0,0
00022255,0,0
00022858,0,0
00040011,0,0
00061044,0,0
00061046,0,0
00061112,0,0
00062044,0,0
00062045,0,0
00062046,0,0
00102900,0,0
00120730,0,0
00123354,0,0
00125474,0,0
00133399,0,0
00151814,0,0
00161507,0,0
00172820,0,0
00199900,0,0
00201300,0,0
00209001,0,0
00220410,0,0
00221546,0,0
00233990,0,0
00259955,0,0
00300230,0,0
00300450,0,0
00300700,0,0
00320910,0,0
00321490,0,0
00324900,0,0
00380891,0,0
00382400,0,0
00382440,0,0
00390950,0,0
00391733,0,0
00392390,0,0
00392410,0,0
00420100,0,0
00449798,0,0
00541178,0,0
00600411,0,0
00602200,0,0
00611490,0,0
00620990,0,0
00680223,0,0
00680422,0,0
00680520,0,0
00703101,0,0
00730840,0,0
00731420,0,0
00731815,0,0
00732190,0,0
00741521,0,0
00802015,0,0
00812015,0,0
00814814,0,0
00822004,0,0
00848210,0,0
00851310,0,0
00853990,0,0
00854622,0,0
00870830,0,0
00870831,0,0
00870894,0,0
00870899,0,0
00903190,0,0
00909909,0,0
00960390,0,0
00986270,0,0
01000000,0,0
01000158,0,0
01002000,0,0
01002281,0,0
01002900,0,0
01004000,0,0
01007875,0,0
01010010,0,0
01010101,0,0
01011010,185397.04,0
01011090,944143.9899999999,22797.60999999999
01011100,31575.76,11.11
01011900,12220.3,0
01012000,783,0
01012011,0,0
01012020,0,0
01012100,25528992.84,290770.74
01012600,0,0
01012900,329745646.6099999,1301070.3
01012990,0,0
01013000,4585513.860000001,60332.16
01017899,0,0
01019000,41510314.52999999,848267.9433
01019010,863,124
01019090,13371.33,302.78
01020304,0,0
01021010,1930333.56,5.109999999999999
01021090,172523.95,0
01022110,493114596.6400002,477493.28
01022190,8994643322.869997,15571761.0107
01022910,0,0
01022911,1908292647.609999,2060462.42
01022919,5118647615.22,7339691.480000001
01022990,24892344479.49,28985600.2819
01023000,0,0
01023110,5629471.96,166491.02
01023190,39800123.88,4192.83
01023911,40680.63,55.73999999999999
01023919,8666506.629999999,17188.87
01023990,62424419.49999999,97872.32999999999
01029000,22069413139.04,22010215.3884
01029001,0,0
01029011,12171.68,0
01029019,410947.54,0
01029090,135456743.38,597328.2999999999
01031000,133407173.54,8400143.879999999
01039100,167387889.47,2103983.66
01039200,203656340.51,2099043.15
01041011,726845.5900000001,1580.59
01041019,3375971.62,11282.02
01041090,20364300.77,50654.53999999999
01042010,8814342.610000001,169481.76
01042090,1471391.61,610.54
01050099,0,0
01051110,364878831.2099999,9232114.120000001
01051190,479377564.0100001,6242374.170000001
01051200,62761.19,1806.9
01051300,76058.29999999999,174.47
01051400,9747.96,105.12
01051500,16120.29,271.37
01051900,15958.23,2200.41
01059400,72987942.22,1014800.66
01059900,130756109.66,1190412.71
01060508,0,0
01061100,973475.62,2684.46
01061200,48052.95,312.74
01061300,57542.88,13.44
01061400,16332,15097.61
01061900,11516515.39,2289.07
01062000,35126.29,23.65000000000001
01063100,614256.04,796.3199999999999
01063200,68544.6,1825.97
01063310,3261.79,2.19
01063390,5734329.310000001,223882.33
01063900,13158499.55,147540.33
01064100,153166.46,0
01064900,2006709.91,39020.11
01069000,21008659.87,23223.7
01069010,0,0
01071200,0,0
01075000,0,0
01111111,0,0
01201100,0,0
01209000,0,0
01212100,0,0
01215120,0,0
01234567,0,0
01292010,0,0
01352962,0,0
01394070,0,0
01544524,0,0
01600497,0,0
01601000,0,0
01707600,0,0
02010000,0,0
02010210,0,0
02011000,19462383.62,381636.84
02011300,0,0
02011900,0,0
02012000,0,0
02012010,12675856.91,138503.21
02012020,9255003.72,215591.02
02012090,74378254.84,200501.02
02012100,0,0
02012900,0,0
02012990,0,0
02013000,68564927.66000001,1596808.56
02020300,0,0
02021000,930990.74,19626.16
02022010,419725.58,22888.96
02022020,633812.16,17114.23
02022090,5456014.42,74705.98999999999
02023000,19512575.35,642405.0200000001
02030000,0,0
02031100,5219358.939999999,105788.95
02031200,3387106.1,34052.99999999999
02031900,6576520.649999999,112054.54
02031999,0,0
02032100,1356365.42,28843.77
02032200,1088000.01,46538.49999999998
02032900,11512326.14,282148.56
02041000,48245.50999999999,1016
02042071,0,0
02042100,21444.86,514.7
02042200,239128.68,7719.73
02042300,26781.19,61.2
02043000,10105.59,397.15
02044100,8509.75,217.41
02044200,107667.4,4047.150000000001
02044300,45040.03000000001,1779.22
02045000,57199.14,1831.67
02050000,690024.5299999999,3949.66
02059000,0,0
02060000,0,0
02061000,2040147.1,6261.030000000002
02062100,104277.92,7210.040000000001
02062200,424001.51,2548.98
02062900,0,0
02062910,772427.4,19384.2
02062980,0,0
02062990,1069263.18,15494.73
02063000,1263793.2,19137.86
02064100,337089.05,9.96
02064900,441242.59,8355.710000000003
02068000,35468,141.15
02069000,6859.370000000001,108.22
02069090,0,0
02070000,0,0
02071100,16114762.72,42422.87
02071200,325102.8199999999,32040.22
02071210,6066673.110000003,172083.27
02071220,1247789.51,18152.73
02071300,6377598.89,81566.04999999999
02071400,24140811.37000001,486647.05
02071411,1069659.53,13966.72
02071412,5925883.540000001,98712.23999999999
02071413,1179193.01,23219.47
02071419,1057239.24,20430.32
02071421,333668.98,13470.85
02071422,1302167.11,40610.08
02071423,420096.0400000001,11149.37
02071424,6857.73,139.73
02071429,194213.56,1214.68
02071431,41863.47000000001,158.52
02071432,25580.09999999999,614.95
02071433,111017.16,2176.82
02071434,2424.85,113
02071439,742422.84,1201.2
02072400,251711.94,15726.89
02072500,278009.46,4767.759999999999
02072600,55851.09,65.67999999999999
02072700,177988.59,1403.63
02074100,9735.42,0
02074200,31537.91,561.8399999999999
02074300,7020.179999999999,0
02074400,5842.91,80.97
02074500,66163.41,3277.8
02075100,2967,70.37
02075200,8145.370000000001,275.27
02075300,163.79,0
02075400,13216.98,15.97
02075500,3754.95,328.93
02076000,12070.01,208.13
02081000,93302.73,176.24
02081983,0,0
02083000,874.91,0
02083200,0,0
02084000,1438.13,15.86
02085000,2548.280000000001,249.68
