ref,valor_nfe,base_cbs
"Alíquota 0% - Automoveis Deficientes, Taxi - Art 149",0,0
Alíquota 0% - Cesta Básica - Anexo I - Art 125,1584601672.67,2043708903.014985
Alíquota 0% - Cuidados básicos - art 147,0,0
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,0,0
Alíquota 0% - Dispositivos acessibilidade - Anexo XIII - art 145,0,0
Alíquota 0% - Dispositivos medicos (Governo e CEBAS) - Anexo IV - art 144,0,0
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,0,0
Alíquota 0% - Medicamentos - art 146,0,0
Alíquota 0% - Produtos Hortícolas - Anexo XV - Art 148,2105960102.75,2716120704.411782
"Alíquota 0% - Tratores, maq, caminhões, - Art 110",0,0
Alíquota de Referência - Demais Produtos,77933057336.34,100512630943.4513
Alíquota reduzida 60%  -Alimentos - Anexo VII - Art 135,10189937405.8895,13142271749.90415
Alíquota reduzida 60%  -Dispositivos acessibilidade - Anexo V - Art 132,0,0
Alíquota reduzida 60%  -Dispositivos médicos - Anexo IV - Art 131,0,0
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,212552914561.075,274135949331.8655
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",0,0
Alíquota reduzida 60%  -Medicamentos - Anexo VI - Art 133 § 1º,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,46950726450.6955,60553777839.08871
Alíquota reduzida 60%  -Produtos higiene - Anexo VIII - Art 136,0,0
Alíquota reduzida 60% - Anexo X - art 139,0,0
"Alíquota reduzida 60% - bens e serviços relacionados à soberania, segurança (nacional, da informação e cibernética) - Anexo XI - art 142",0,0
