ref,fundam_legal,beneficio,item,codigo_ncm,descricao_ncm,descr_produto,proporcao_antes_tratamento,proporcao_apos_tratamento,diferenca
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raga Pura",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raga Pura",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Reprodutores De Raga Pura Exc.Cavalos",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Reprodutores De Raga Pura Exc.Cavalos",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raca Pura",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Cavalos Reprodutores De Raca Pura",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01011900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01011900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Asininos E Muares",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Asininos E Muares",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Reprodutores de raça pura",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012100,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Reprodutores de raça pura",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01012900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Outros",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01012900,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - -- Outros",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01013000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Asininos",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01013000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Asininos",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Outros",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019000,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - - Outros",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos Exceto D/Raga Pura",-,0,0,0
Alíquota reduzida 60%  -Produtos agropecuários in natura - art 137,GERAL,Redução de 60%,1,01019010,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outros Cavalos Exceto D/Raga Pura",Animais vivos,1,1,0
Alíquota de Referência - Demais Produtos,GERAL,-,-,01019090,"Animais vivos e produtos do reino animal - Animais vivos. - Cavalos, asininos e muares, vivos. - Outs.Animais Especie Cavalar Asinina Muar",-,0,0,0
